name;state_name;country_name;latitude;longitude;citied_by;cover_date
Beijing;Beijing;China;39.9075;116.39723;21;2023-12-30
Beijing;Beijing;China;39.9075;116.39723;0;2023-12-26
Shanghai;Shanghai;China;31.22222;121.45806;2;2023-12-25
Tabriz;East Azerbaijan Province;Iran;38.08;46.2919;1;2023-12-25
Vellore;Tamil Nadu;India;12.86;79.035;0;2023-12-22
Washington, D.C.;District of Columbia;United States;38.89511;-77.03637;0;2023-12-22
Tashkent;Tashkent;Uzbekistan;41.26465;69.21627;1;2023-12-21
Tashkent;Tashkent;Uzbekistan;41.26465;69.21627;0;2023-12-21
Atlanta;Georgia;United States;33.749;-84.38798;3;2023-12-20
Atlanta;Illinois;United States;40.25948;-89.23342;3;2023-12-20
Atlanta;Michigan;United States;45.00473;-84.14389;3;2023-12-20
Atlanta;Texas;United States;33.11374;-94.16435;3;2023-12-20
Oxford;England;United Kingdom;51.75222;-1.25596;5;2023-12-20
Beijing;Beijing;China;39.9075;116.39723;3;2023-12-20
Beijing;Beijing;China;39.9075;116.39723;5;2023-12-20
Davis;California;United States;38.54491;-121.74052;16;2023-12-20
Davis;Oklahoma;United States;34.50453;-97.11946;16;2023-12-20
Wenzhou;Zhejiang;China;27.99942;120.66682;0;2023-12-15
Tehran;Tehran Province;Iran;35.69439;51.42151;0;2023-12-15
London;Ontario;Canada;42.98339;-81.23304;8;2023-12-15
Chongqing;Chongqing;China;29.56278;106.55278;7;2023-12-15
Changsha;Guizhou;China;28.68778;105.98972;9;2023-12-15
Changsha;Hunan;China;28.19874;112.97087;9;2023-12-15
Perth;Tasmania;Australia;-41.57231;147.17096;1;2023-12-15
Perth;Western Australia;Australia;-31.95224;115.8614;1;2023-12-15
Gwangju;Gwangju;South Korea;35.15472;126.91556;4;2023-12-15
Gwangju;Gyeonggi Province;South Korea;37.41;127.25722;4;2023-12-15
Guangzhou;Guangdong;China;23.11667;113.25;13;2023-12-15
Wuhan;Hubei;China;30.58333;114.26667;0;2023-12-14
Limassol;Limassol District (Leymasun);Cyprus;34.68406;33.03794;0;2023-12-14
Bloemfontein;Free State;South Africa;-29.12107;26.214;0;2023-12-14
Milan;Lombardy;Italy;45.46427;9.18951;1;2023-12-14
Amherst;Massachusetts;United States;42.36723;-72.51852;14;2023-12-12
Amherst;New York;United States;42.97839;-78.79976;14;2023-12-12
Amherst;Ohio;United States;41.39782;-82.22238;14;2023-12-12
Amherst;Virginia;United States;37.58514;-79.05141;14;2023-12-12
Amherst;Wisconsin;United States;44.45081;-89.28484;14;2023-12-12
Belagavi;Karnataka;India;16.33333;74.75;0;2023-12-11
Pune;Maharashtra;India;18.51957;73.85535;1;2023-12-11
Leuven;Flanders;Belgium;50.87959;4.70093;0;2023-12-11
Espoo;Uusimaa;Finland;60.2052;24.6522;1;2023-12-10
Nanjing;Taiwan;China;32.06167;118.77778;4;2023-12-10
Dalian;Liaoning;China;38.91222;121.60222;0;2023-12-08
Guilin;Guangxi Zhuang;China;25.28194;110.28639;0;2023-12-08
Beijing;Beijing;China;39.9075;116.39723;0;2023-12-08
Beijing;Beijing;China;39.9075;116.39723;0;2023-12-08
Beijing;Beijing;China;39.9075;116.39723;5;2023-12-05
Beijing;Beijing;China;39.9075;116.39723;1;2023-12-05
Beijing;Beijing;China;39.9075;116.39723;3;2023-12-04
Nanjing;Taiwan;China;32.06167;118.77778;1;2023-12-04
Beijing;Beijing;China;39.9075;116.39723;0;2023-12-02
Pretoria;Gauteng;South Africa;-25.74486;28.18783;1;2023-12-01
Riyadh;Riyadh;Saudi Arabia;24.68773;46.72185;0;2023-12-01
Seoul;Seoul;South Korea;37.566;126.9784;0;2023-12-01
Milan;Lombardy;Italy;45.46427;9.18951;3;2023-12-01
Alicante;Valencia;Spain;38.34517;-0.48149;1;2023-12-01
Hangzhou;Zhejiang;China;30.29365;120.16142;0;2023-12-01
Yerevan;Yerevan;Armenia;40.18111;44.51361;0;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;7;2023-12-01
Changsha;Guizhou;China;28.68778;105.98972;0;2023-12-01
Changsha;Hunan;China;28.19874;112.97087;0;2023-12-01
Vancouver;British Columbia;Canada;49.24966;-123.11934;2;2023-12-01
Kanchipuram;Tamil Nadu;India;12.83515;79.70006;3;2023-12-01
Casablanca;Casablanca-Settat;Morocco;33.5884;-7.55785;1;2023-12-01
Kharagpur;Bihar;India;25.12446;86.55578;19;2023-12-01
Kharagpur;West Bengal;India;22.330239;87.323653;19;2023-12-01
Busan;Busan;South Korea;35.10168;129.03004;2;2023-12-01
Medina;Al Madinah;Saudi Arabia;24.46861;39.61417;2;2023-12-01
London;England;United Kingdom;51.50853;-0.12574;1;2023-12-01
Ottawa;Ontario;Canada;45.41117;-75.69812;3;2023-12-01
Bangkok;Bangkok;Thailand;13.75398;100.50144;0;2023-12-01
Halden;Østfold;Norway;59.12258;11.38709;8;2023-12-01
West Lafayette;Indiana;United States;40.42587;-86.90807;1;2023-12-01
West Lafayette;Ohio;United States;40.27535;-81.75096;1;2023-12-01
Recife;Pernambuco;Brazil;-8.05389;-34.88111;2;2023-12-01
Enschede;Overijssel;Netherlands;52.21833;6.89583;6;2023-12-01
Delft;South Holland;Netherlands;52.00667;4.35556;2;2023-12-01
Dublin;Leinster;Ireland;53.33306;-6.24889;0;2023-12-01
Viganello;Ticino;Switzerland;46.01342;8.96879;2;2023-12-01
Yangzhou;Taiwan;China;32.39722;119.43583;2;2023-12-01
Mansehra;Khyber Pakhtunkhwa;Pakistan;34.33023;73.19679;9;2023-12-01
Chengdu;Sichuan;China;30.66667;104.06667;0;2023-12-01
Hamburg;Hamburg;Germany;53.57532;10.01534;2;2023-12-01
Nijmegen;Gelderland;Netherlands;51.8425;5.85278;11;2023-12-01
Ranchi;Jharkhand;India;23.34316;85.3094;10;2023-12-01
Berkeley;California;United States;37.87159;-122.27275;1;2023-12-01
Berkeley;Illinois;United States;41.88892;-87.9034;1;2023-12-01
Berkeley;Missouri;United States;38.7545;-90.33123;1;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;2;2023-12-01
Beijing;Beijing;China;39.9075;116.39723;0;2023-12-01
Chuzhou;Anhui;China;32.32194;118.29778;3;2023-12-01
Nanjing;Taiwan;China;32.06167;118.77778;2;2023-12-01
Urbana;Illinois;United States;40.11059;-88.20727;2;2023-12-01
Urbana;Iowa;United States;42.22416;-91.87434;2;2023-12-01
Urbana;Maryland;United States;39.32594;-77.35137;2;2023-12-01
Urbana;Ohio;United States;40.10839;-83.75243;2;2023-12-01
