affiliation_name;state_name;affiliation_country;citied_by
instituteforhealthmetricsandevaluation;washington;unitedstates;2748
universityofminnesotamedicalschool;minnesota;unitedstates;1301
institut-hopitalneurologiquedemontreal;quebec;canada;1254
beijinginstituteoftechnology;beijing;china;1052
floridastateuniversitycollegeofmedicine;florida;unitedstates;1038
globalallianceonhealthandpollution;geneva;switzerland;999
brighamandwomen'shospital;massachusetts;unitedstates;856
southwesternuniversityoffinanceandeconomics;sichuan;china;733
universitatdebarcelona;barcelona;spain;646
wuhanuniversity;hubei;china;599
hainanuniversity;hainan;china;509
diabetesnsw;newsouthwales;australia;499
stanforduniversityschoolofmedicine;california;unitedstates;489
columbiauniversity;newyork;unitedstates;448
deakinuniversity;victoria;australia;444
eastchinainstituteoftechnology;jiangxi;china;384
stanfordhealthcare;california;unitedstates;381
uluslararasikibrisuniversitesi;nicosia;cyprus;379
universityofcambridge;cambridgeshire;unitedkingdom;367
pekinguniversity;beijing;china;321
lutuniversity;southkarelia;finland;300
oceanuniversityofchina;shandong;china;276
weifangmedicaluniversity;shandong;china;251
southwestjiaotonguniversity;sichuan;china;242
tongjimedicalcollegeofhuazhonguniversityofscienceandtechnology;hubei;china;241
zhengzhouuniversity;henan;china;240
newyorkuniversity;newyork;unitedstates;239
departmentofnutrition;northcarolina;unitedstates;232
universityofminnesotatwincities;minnesota;unitedstates;227
jilinuniversity;jilin;china;224
northwestuniversity;shaanxi;china;214
vageloscollegeofphysiciansandsurgeons;newyork;unitedstates;209
fuzhouuniversityofforeignstudiesandtrade;fujian;china;205
homibhabhanationalinstitute;maharashtra;india;196
ruijinhospital;shanghai;china;196
shenzhenuniversity;guangdong;china;192
brighamyounguniversity;utah;unitedstates;190
schoolofmedicineandpublichealth;newsouthwales;australia;190
karlsruherinstitutfurtechnologie;baden-wurttemberg;germany;188
huaqiaouniversity;fujian;china;187
lajollainstituteforimmunology;california;unitedstates;186
activehealthykidsglobalalliance;ontario;canada;185
jiangsuuniversity;jiangsu;china;184
akdenizuniversitesi;antalya;turkiye;184
technischeuniversitatberlin;berlin;germany;182
universityofwashington;washington;unitedstates;181
universityofexetermedicalschool;devon;unitedkingdom;180
redeemer'suniversity;ogun;nigeria;178
theuniversityofqueensland;queensland;australia;177
hanyanguniversity;seoul;southkorea;176
xiamenuniversity;fujian;china;174
renminuniversityofchina;beijing;china;171
rtiinternational;northcarolina;unitedstates;170
virginiapolytechnicinstituteandstateuniversity;virginia;unitedstates;169
taylor'suniversitymalaysia;selangor;malaysia;169
zhejianginternationalstudiesuniversity;zhejiang;china;168
collegeofbusinessadministration;sharjah;unitedarabemirates;167
goteborgsuniversitet;vastragotaland;sweden;165
thesecondaffiliatedhospitalzhejianguniversityschoolofmedicine;zhejiang;china;165
sichuannormaluniversity;sichuan;china;165
universityofinternationalbusinessandeconomics;beijing;china;164
huazhongagriculturaluniversity;hubei;china;164
massachusettsgeneralhospital;massachusetts;unitedstates;163
othmanyeopabdullahgraduateschoolofbusiness;kualalumpur;malaysia;153
sunyat-senbusinessschool;guangdong;china;149
hunanuniversity;hunan;china;149
