affiliation_name;state_name;affiliation_country;citied_by
abilenechristianuniversity;texas;unitedstates;104
shriramdeobabacollegeofengineeringandmanagement,nagpur;maharashtra;india;52
xi'anjiaotonguniversity;shaanxi;china;40
shanghaiinternationalstudiesuniversity;shanghai;china;30
universidadedabeirainterior;castelobranco;portugal;25
silesianuniversityoftechnology;silesian;poland;23
indianinstituteoftechnologykharagpur;westbengal;india;21
schoolofpublichealth;tehran;iran;21
addisababauniversity;addisababa;ethiopia;20
xiamenuniversity;fujian;china;20
universityofcambridge;cambridgeshire;unitedkingdom;12
koreaadvancedinstituteofscienceandtechnology;daejeon;southkorea;11
amityuniversityjharkhand;jharkhand;india;10
queenslanduniversityoftechnology;queensland;australia;9
instituttforenergiteknikk;akershus;norway;8
stanforduniversityschoolofmedicine;california;unitedstates;7
europeancommissionjointresearchcentre;brussels;belgium;6
sunyat-senuniversity;guangdong;china;5
universidadefederaldegoias;goias;brazil;5
keylaboratoryofyangtzeriverwaterenvironmentministryofeducation;shanghai;china;5
mahasarakhamuniversity;mahasarakham;thailand;4
universityofoklahomacollegeofmedicine;oklahoma;unitedstates;4
universitemcgill;quebec;canada;4
lodzuniversityoftechnology;lodzvoivodeship;poland;4
universityofnigeria;enugu;nigeria;3
shanghaijiaotonguniversity;shanghai;china;3
chinauniversityofpetroleum(eastchina);shandong;china;3
hutchinsoncommunitycollege;kansas;unitedstates;3
gujaratuniversity;gujarat;india;3
ss.cyrilandmethodiusuniversityinskopje;skopje;northmacedonia;3
emergingtechnologiesinstitute;virginia;unitedstates;3
centerforaianddigitalpolicy;districtofcolumbia;unitedstates;2
universidadefederaldomaranhao;maranhao;brazil;2
universityofcalifornia;california;unitedstates;2
universidaddemurcia;murcia;spain;2
monashuniversity;victoria;australia;2
universityofsoutherncalifornia;california;unitedstates;2
ludovikauniversityofpublicservice;budapest;hungary;1
universityofsouthafrica;gauteng;southafrica;1
southwestuniversityofscienceandtechnology;sichuan;china;1
universitatobertadecatalunya;barcelona;spain;1
dhofaruniversity;dhofar;oman;1
theuniversityofqueensland;queensland;australia;1
sichuanuniversity;sichuan;china;1
universityofhertfordshire;hertfordshire;unitedkingdom;0
universityofscienceandtechnologyofchina;anhui;china;0
universiteitutrecht;utrecht;netherlands;0
wenzhouuniversity;zhejiang;china;0
wuhanbusinessuniversity;hubei;china;0
d2legaltechnologies(d2lt);;unitedkingdom;0
bharathiaruniversity;tamilnadu;india;0
liaoninguniversity;liaoning;china;0
dongguanuniversityoftechnology;guangdong;china;0
edmentuminc.;;unitedstates;0
frederickuniversity;nicosia;cyprus;0
guilinuniversityofelectronictechnology;guangxi;china;0
hindustaninstituteoftechnologyandscience;tamilnadu;india;0
cquniversityaustralia;queensland;australia;0
nationaluniversity,philippines;manila;philippines;0
theopenuniversity;buckinghamshire;unitedkingdom;0
china;hubei;china;0
charlesuniversity;prague;czechrepublic;0
dalianneusoftuniversityofinformation;liaoning;china;0
birlainstituteoftechnologyandscience,pilani;rajasthan;india;0
soongsiluniversity;seoul;southkorea;0
st.klimentohridskiuniversity;bitola;northmacedonia;0
s.p.jainschoolofglobalmanagement;;unitedarabemirates;0
