affiliation_name;state_name;affiliation_country;citied_by
dayalbagheducationalinstitute;uttarpradesh;india;74
internationalmanagementinstitute,bhubaneswar;odisha;india;31
c.v.ramanglobaluniversity;odisha;india;25
universityofkerala;kerala;india;25
wuhanuniversityoftechnology;hubei;china;23
faucollegeofengineeringandcomputerscience;florida;unitedstates;22
tampereuniversity;pirkanmaa;finland;20
morsanicollegeofmedicine;florida;unitedstates;18
floridastateuniversity;florida;unitedstates;16
srminstituteofscienceandtechnologyramapuramcampus;tamilnadu;india;15
departmentofcivil,construction,andenvironmentalengineering;alabama;unitedstates;14
christianmedicalcollege,vellore;tamilnadu;india;11
houstonmethodist;texas;unitedstates;10
universityofalabamaatbirminghamschoolofhealthprofessions;alabama;unitedstates;9
theuniversityoftexasataustin;texas;unitedstates;9
schulthessklinik;zurich;switzerland;9
fudanuniversity;shanghai;china;9
o'nealcomprehensivecancercenter;alabama;unitedstates;9
shrimatavaishnodeviuniversity;jammuandkashmir;india;8
indianinstituteoftechnologykharagpur;westbengal;india;8
sbumsschoolofmedicine;tehran;iran;7
velloreinstituteoftechnology;tamilnadu;india;7
