affiliation_name;state_name;affiliation_country;citied_by
mercatorresearchinstituteonglobalcommonsandclimatechange;berlin;germany;930
southeasternuniversityofsrilanka;;srilanka;616
tsinghuauniversity;beijing;china;445
fptuniversity;hanoi;vietnam;362
curtinuniversity;westernaustralia;australia;333
pengchenglaboratory;guangdong;china;252
sonycorporation;tokyo;japan;251
schoolofcomputingandinformationsystems;victoria;australia;246
universityofplymouth;devon;unitedkingdom;245
aerospaceinformationresearchinstitute;beijing;china;215
europeancommissionjointresearchcentre;brussels;belgium;211
ministryofnaturalresourcesofthepeople'srepublicofchina;beijing;china;202
collegeofengineeringandcomputerscience;michigan;unitedstates;201
swinburneuniversityoftechnology;victoria;australia;196
universitatfreiburg;baden-wurttemberg;germany;190
nanjinguniversityofaeronauticsandastronautics;jiangsu;china;164
shanghaijiaotonguniversity;shanghai;china;160
"nanjinguniversityofinformationscience&amp;technology";jiangsu;china;159
stateenvironmentalprotectionkeylaboratoryofsourcesandcontrolofairpollutioncomplex;beijing;china;153
wuhanuniversityoftechnology;hubei;china;150
ncstateuniversity;northcarolina;unitedstates;146
imamabdulrahmanbinfaisaluniversity;ashsharqiyah;saudiarabia;142
massachusettsinstituteoftechnology;massachusetts;unitedstates;137
auburnuniversityatmontgomery;alabama;unitedstates;133
"departmentoftransport&amp;planning,tudelft";zuid-holland;netherlands;132
shenzhentechnologyuniversity;guangdong;china;131
ghaziuniversity;punjab;pakistan;128
jilinuniversity;jilin;china;125
"khwajafareeduniversityofengineering&amp;informationtechnology";punjab;pakistan;120
huazhonguniversityofscienceandtechnology;hubei;china;119
velloreinstituteoftechnology;tamilnadu;india;119
instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;beijing;china;117
universityofminnesotatwincities;minnesota;unitedstates;112
institutodepesquisaambientaldaamazonia;para;brazil;112
ethzurich;zurich;switzerland;112
nvidia;california;unitedstates;110
collegeofinformationscienceandengineering,northeasternuniversity;liaoning;china;108
koreaadvancedinstituteofscienceandtechnology;daejeon;southkorea;105
a.jamesclarkschoolofengineering;maryland;unitedstates;104
nisantasiuniversitesi;istanbul;turkey;103
birminghambusinessschool;birmingham;unitedkingdom;103
bucharestuniversityofeconomicstudies;bucharest;romania;100
schoolofengineeringandappliedscience;newjersey;unitedstates;100
universityofscienceandtechnologyofchina;anhui;china;99
collegeofengineering;florida;unitedstates;98
commonwealthscientificandindustrialresearchorganisation;australiancapitalterritory;australia;98
nanjinguniversity;jiangsu;china;97
beijinguniversityoftechnology;beijing;china;96
businessschoolofsichuanuniversity;sichuan;china;95
monashuniversity;victoria;australia;94
technischeuniversiteiteindhoven;noord-brabant;netherlands;93
meta;california;unitedstates;92
marlanandrosemarybournscollegeofengineering;california;unitedstates;92
navaluniversityofengineering;hebei;china;90
thegraingercollegeofengineering;illinois;unitedstates;90
beijingjiaotonguniversity;beijing;china;90
shanghaiuniversityoffinanceandeconomics;shanghai;china;90
collegeofengineering;pennsylvania;unitedstates;90
cityuniversityofhongkongshenzhenresearchinstitute;guangdong;china;86
princetonuniversity;newjersey;unitedstates;84
tongjiuniversity;shanghai;china;83
maxplanckuclcentreforcomputationalpsychiatryandageingresearch;berlin;germany;81
schoolofglobalpolicyandstrategy;california;unitedstates;80
"wageningenuniversity&amp;research";gelderland;netherlands;80
lanzhouuniversity;gansu;china;79
universityofcoimbra,instituteofsystemsandrobotics;coimbra;portugal;79
universityofsharjah;sharjah;unitedarabemirates;79
instituteofautomationchineseacademyofsciences;beijing;china;78
universityofvirginiaschoolofengineeringandappliedscience;virginia;unitedstates;78
melbourneschoolofpopulationandglobalhealth;victoria;australia;78
avsengineeringcollege;tamilnadu;india;78
