affiliation_name;state_name;affiliation_country;citied_by
technischeuniversitatberlin;berlin;germany;799
georg-august-universitatgottingen;niedersachsen;germany;735
nagoyainstituteoftechnology;aichi;japan;545
fuzhouuniversity;fujian;china;536
universityofscienceandtechnologybeijing;beijing;china;503
velloreinstituteoftechnology;tamilnadu;india;451
gottfriedwilhelmleibnizuniversitathannover;niedersachsen;germany;447
googlellc;california;unitedstates;403
nationalrenewableenergylaboratory;colorado;unitedstates;399
universitikebangsaanmalaysia;selangor;malaysia;378
facebookresearch;california;unitedstates;374
cyprusuniversityoftechnology;limassol;cyprus;374
intelcorporation;california;unitedstates;354
ecolemohammadiad'ingenieurs,mohammedvuniversityinrabat;rabat;morocco;336
wuhannationallaboratoryforoptoelectronics;hubei;china;323
schoolofcomputerscience;newsouthwales;australia;316
carletonuniversity;ontario;canada;307
tongjiuniversity;shanghai;china;301
hebeiuniversity;hebei;china;298
