affiliation_name;state_name;affiliation_country;citied_by
instituteforhealthmetricsandevaluation;washington;unitedstates;922
theuniversityofqueensland;queensland;australia;608
universityoforegon;oregon;unitedstates;401
hochiminhcityuniversityoftechnology-hutech;hochiminhcity;vietnam;256
universititenaganasional;selangor;malaysia;228
nationalcenterforbiotechnologyinformation(ncbi);maryland;unitedstates;228
nanchanguniversity;jiangxi;china;161
uvawellassauniversity;badulla;srilanka;160
thesecondaffiliatedhospitalandyuyingchildren'shospitalofwenzhoumedicaluniversity;zhejiang;china;137
bristolmedicalschool;bristol;unitedkingdom;109
zhejianggongshanguniversity;zhejiang;china;101
universityofalberta,facultyofmedicineanddentistry;alberta;canada;95
rigastradinsuniversity;riga;latvia;93
oxfordsocialsciencesdivision;oxfordshire;unitedkingdom;89
indianinstituteofmanagement;bihar;india;86
chandigarhuniversity;punjab;india;84
universityofessex;essex;unitedkingdom;82
universidaddesantander;santander;colombia;76
theuniversityofutah;utah;unitedstates;76
tianjinuniversity;tianjin;china;72
melbourneschoolofpopulationandglobalhealth;victoria;australia;70
universityoftechnologysydney;newsouthwales;australia;69
hohaiuniversity;jiangsu;china;69
monashuniversity;victoria;australia;66
fakirmohanuniversity;odisha;india;65
universityofvictoria;britishcolumbia;canada;59
varnauniversityofmanagement;varna;bulgaria;56
anadoluuniversitesi;eskisehir;turkiye;54
yaleschoolofmedicine;connecticut;unitedstates;54
banarashinduuniversity;uttarpradesh;india;54
brownuniversity;rhodeisland;unitedstates;52
centronacionaldesupercomputacion;barcelona;spain;51
szechenyiistvanuniversity;gyor-moson-sopron;hungary;51
collegeofcomputerscienceandtechnology,zhejianguniversity;zhejiang;china;50
harvardfacultyofartsandsciences;massachusetts;unitedstates;48
southchinauniversityoftechnology;guangdong;china;48
tianjinuniversityofcommerce;tianjin;china;45
zhejiangnormaluniversity;zhejiang;china;45
anhuiuniversityoftechnology;anhui;china;44
institutonacionaldeinfectologiaevandrochagas(ini);riodejaneiro;brazil;44
universityofnorthdakota;northdakota;unitedstates;43
centralsouthuniversity;hunan;china;42
harbininstituteoftechnology;heilongjiang;china;41
uluslararasikibrisuniversitesi;nicosia;cyprus;41
trondheimhovedkontor;sor-trondelag;norway;41
sathyabamainstituteofscienceandtechnology;tamilnadu;india;41
universityoflagos;lagos;nigeria;40
harvarduniversity;massachusetts;unitedstates;39
chongqingnormaluniversity;chongqing;china;38
bostoncollege;massachusetts;unitedstates;38
universitymedicalcenterutrecht;utrecht;netherlands;37
collegeofengineering;indiana;unitedstates;36
shandongwomen'suniversity;shandong;china;36
vrijeuniversiteitamsterdam;noord-holland;netherlands;36
universityofcalifornia,berkeley;california;unitedstates;35
nanjinguniversityofpostandtelecommunications;jiangsu;china;35
universidadautonomadenuevoleon;nuevoleon;mexico;35
xi'anjiaotong-liverpooluniversity;jiangsu;china;34
shenzhenuniversity;guangdong;china;34
beijingtongrenhospital,capitalmedicaluniversity;beijing;china;34
universityofsouthampton;hampshire;unitedkingdom;34
guizhouuniversityoffinanceandeconomics;guizhou;china;33
unitedstatesgeologicalsurveycentralregion;colorado;unitedstates;33
chineseacademyofsciences;beijing;china;33
tokatgaziosmanpasauniversitesi;tokat;turkey;33
escuelademedicina;regionmetropolitanadesantiago;chile;32
universityoflincoln;lincolnshire;unitedkingdom;32
universityhospitalscasemedicalcenter;ohio;unitedstates;32
lanzhouuniversity;gansu;china;32
jiangsunormaluniversity;jiangsu;china;31
renminuniversityofchina;beijing;china;30
clemsonuniversity;southcarolina;unitedstates;30
hebeiagriculturaluniversity;hebei;china;30
universityofcanberra;australiancapitalterritory;australia;30
wuhanuniversity;hubei;china;30
universited'ottawa,facultedemedecine;ontario;canada;30
henanuniversity;henan;china;30
