affiliation_name;state_name;affiliation_country;citied_by
australiancatholicuniversity;newsouthwales;australia;995
instituteofhealthpolicy,managementandevaluation;ontario;canada;678
institutofederaldeeducacao,cienciaetecnologiacatarinense-ifc;santacatarina;brazil;512
latrobebusinessschool;victoria;australia;432
cabi,kenya;nairobi;kenya;396
universitikebangsaanmalaysia;selangor;malaysia;394
universitateapolitehnicatimisoara;timis;romania;373
xiamenuniversity;fujian;china;357
theworldbank,usa;washington,d.c.;unitedstates;327
universidaddezaragoza;zaragoza;spain;279
indianauniversitybloomington;indiana;unitedstates;275
johnshopkinsbloombergschoolofpublichealth;maryland;unitedstates;270
deakinuniversity;victoria;australia;268
isletmeveekonomifakultesi;famagusta;cyprus;266
universityofinternationalbusinessandeconomics;beijing;china;264
indianinstituteoftechnologypatna;bihar;india;260
theuwabusinessschool;westernaustralia;australia;258
dalianmaritimeuniversity;liaoning;china;251
tianjinuniversityoffinanceandeconomics;tianjin;china;250
kobeuniversity;hyogo;japan;247
technischeuniversitatdortmund;nordrhein-westfalen;germany;247
johnshopkinsuniversityschoolofmedicine;maryland;unitedstates;236
universityofflorida;florida;unitedstates;224
fudanuniversity;shanghai;china;222
universityofwaterloo;ontario;canada;222
universiteitantwerpen;van;belgium;220
bucharestuniversityofeconomicstudies;bucharest;romania;209
icta-uabinstitutdecienciaitecnologiaambientals;barcelona;spain;207
maxplanckinstituteforthestudyofsocieties;nordrhein-westfalen;germany;197
fuzhouuniversityofforeignstudiesandtrade;fujian;china;195
universitatpassau;bayern;germany;194
internationalfoodpolicyresearchinstitute;districtofcolumbia;unitedstates;190
ministryofecologyandenvironmentofchina;jiangsu;china;187
"management&amp;scienceuniversity,malaysia";selangor;malaysia;177
thebrookingsinstitution;washington,d.c.;unitedstates;176
bournemouthuniversity;dorset;unitedkingdom;171
sultanqaboosuniversity;muscat;oman;159
centrointernacionaldeagriculturatropical;valledelcauca;colombia;159
sharifeyecenters;irbid;jordan;158
universititeknologimalaysia;johor;malaysia;156
shanghailixinuniversityofaccountingandfinance;shanghai;china;156
hankenschoolofeconomics;districtofcolumbia;unitedstates;155
liverpoolbusinessschool;merseyside;unitedkingdom;154
centerforcommerceanddiplomacy;california;unitedstates;150
portsmouthbusinessschool;hampshire;unitedkingdom;148
mercatorresearchinstituteonglobalcommonsandclimatechange;berlin;germany;148
universityofcambridge;cambridgeshire;unitedkingdom;143
collegeofmedicineandhealthsciencesunitedarabemiratesuniversity;abudhabi;unitedarabemirates;143
theuniversityofthewestindies;kingston;jamaica;142
micronutrientforum;districtofcolumbia;unitedstates;140
hanken-svenskahandelshogskolan;uusimaa;finland;139
fsegsfax-facultedesscienceseconomiquesetdegestiondesfax;sfax;tunisia;135
universityofpittsburgh;pennsylvania;unitedstates;134
teessideuniversitybusinessschool;northyorkshire;unitedkingdom;132
unswsydney;newsouthwales;australia;128
facultyofbusinessandlaw;hampshire;unitedkingdom;126
southamptonbusinessschool;hampshire;unitedkingdom;124
zhejianginternationalstudiesuniversity;zhejiang;china;123
universitedelausanne(unil);vaud;switzerland;122
universitiutaramalaysia;kedah;malaysia;120
universitedesousse;sousse;tunisia;118
theuniversityofqueenslandbusinessschool;queensland;australia;118
tilmanj.fertittafamilycollegeofmedicine;texas;unitedstates;117
universityoftehran;tehran;iran;116
universityoffinance-marketing;hochiminhcity;vietnam;114
tokaiuniversity;tokyo;japan;111
theuniversityofsydneybusinessschool;newsouthwales;australia;110
qingdaouniversity;shandong;china;109
universitemcgill;quebec;canada;108
aucklanduniversityoftechnology;aucklandregion;newzealand;108
universityofliverpool;merseyside;unitedkingdom;103
universityofwarsaw;lesserpolandvoivodeship;poland;103
universityofcalifornia,berkeley;california;unitedstates;102
universityofbristol;bristol;unitedkingdom;101
europeancommissionjointresearchcentre;brussels;belgium;100
shaqrauniversity;arriyad;saudiarabia;98
unitednationsconferenceontradeanddevelopment;geneva;switzerland;97
utsbusinessschool;newsouthwales;australia;97
