affiliation_name;state_name;affiliation_country;citied_by
broadinstitute;massachusetts;unitedstates;821
harvardmedicalschool;massachusetts;unitedstates;660
universityofdhaka;dhaka;bangladesh;613
southernmedicaluniversity;guangdong;china;607
universityofjammu;jammuandkashmir;india;580
universitatbonn;nordrhein-westfalen;germany;579
abc;saintgeorge;saintvincentandthegrenadines;555
radbouduniversitymedicalcenter;gelderland;netherlands;503
qimrberghofermedicalresearchinstitute;queensland;australia;458
nationalinstitutesofhealth(nih);maryland;unitedstates;440
universityofoxfordmedicalsciencesdivision;oxfordshire;unitedkingdom;435
nationalcenterforbiotechnologyinformation(ncbi);maryland;unitedstates;392
thejohnshopkinshospital;maryland;unitedstates;338
weillcornellmedicine;newyork;unitedstates;330
alibabagroupholdinglimited;zhejiang;china;329
universityoffloridacollegeofmedicine;florida;unitedstates;280
"wageningenuniversity&amp;research";gelderland;netherlands;278
universityoftoronto;ontario;canada;269
centrehospitalieruniversitairedebrest;brest;france;269
k.n.toosiuniversityoftechnology;tehran;iran;268
cummingschoolofmedicine;alberta;canada;266
yaleschoolofmedicine;connecticut;unitedstates;257
universityoftoronto,instituteofbiomaterialsandbiomedicalengineering;ontario;canada;251
universityofmichigan,annarbor;michigan;unitedstates;223
fudanuniversity;shanghai;china;201
shanghaijiaotonguniversityschoolofmedicine;shanghai;china;198
yunnannormaluniversity;yunnan;china;198
imdeafoodinstitute;madrid;spain;198
rutgersschoolofhealthprofessions;newjersey;unitedstates;193
commonwealthscientificandindustrialresearchorganisation;australiancapitalterritory;australia;191
xinxiangmedicaluniversity;henan;china;184
qingdaouniversity;shandong;china;172
icahnschoolofmedicineatmountsinai;newyork;unitedstates;169
hasso-plattner-institutfursoftwaresystemtechnikgmbh;brandenburg;germany;162
universitatzurich;zurich;switzerland;161
universitatsklinikumcarlgustavcarusdresden;sachsen;germany;158
memorialuniversityofnewfoundland;newfoundlandandlabrador;canada;157
mayoclinic;minnesota;unitedstates;154
kategleasoncollegeofengineering;newyork;unitedstates;149
lsuhealthneworleansschoolofmedicine;louisiana;unitedstates;148
universityofvirginiaschoolofengineeringandappliedscience;virginia;unitedstates;147
capitalmedicaluniversity;beijing;china;142
theuniversityoftexasataustin;texas;unitedstates;142
universityofscienceandtechnologyofchina;anhui;china;136
universidadedominho;braga;portugal;132
ethzurich;zurich;switzerland;129
stanfordengineering;california;unitedstates;125
vrijeuniversiteitamsterdam;noord-holland;netherlands;122
universityofoxford;oxfordshire;unitedkingdom;121
massachusettsinstituteoftechnology;massachusetts;unitedstates;121
universityofwollongong;newsouthwales;australia;118
ucrschoolofmedicine;california;unitedstates;118
universityofthewestofengland;bristol;unitedkingdom;116
clevelandclinicfoundation;ohio;unitedstates;114
universityoftorontofacultyofmedicine;ontario;canada;114
harbininstituteoftechnology;heilongjiang;china;113
huazhonguniversityofscienceandtechnology;hubei;china;112
universityoftechnologysydney;newsouthwales;australia;111
islamicazaduniversity,scienceandresearchbranch;tehran;iran;105
indianinstituteoftoxicologyresearch;uttarpradesh;india;105
technischeuniversitatberlin;berlin;germany;104
universitisainsmalaysia,healthcampus;kelantan;malaysia;103
universitatfreiburg;baden-wurttemberg;germany;101
technischeuniversitatmunchen;bayern;germany;101
