affiliation_name;state_name;affiliation_country;citied_by
cornelluniversity;newyork;unitedstates;135
kingfahduniversityofpetroleumandminerals;ashsharqiyah;saudiarabia;134
nanjinguniversityofaeronauticsandastronautics;jiangsu;china;123
universityofyork;northyorkshire;unitedkingdom;70
curtinuniversity;westernaustralia;australia;58
puneinstituteofcomputertechnology;maharashtra;india;47
universityoftoronto;ontario;canada;45
queenslanduniversityoftechnology;queensland;australia;39
universityofcambridge;cambridgeshire;unitedkingdom;39
universitatsklinikumbonn;nordrhein-westfalen;germany;32
technischeuniversitatmunchen;bayern;germany;28
nationaloceanographycentresouthampton;southampton;unitedkingdom;28
nationalcenterforinjurypreventionandcontrol;georgia;unitedstates;25
ministryofagricultureofthepeople'srepublicofchina;beijing;china;25
universidaddelcauca;cauca;colombia;25
umeauniversitet;vasterbotten;sweden;23
thevanleerjerusaleminstitute;jerusalem;israel;22
theuniversityofdodoma;dodoma;tanzania;21
universityofdhaka;dhaka;bangladesh;17
universityofottawa;ontario;canada;16
universityofflorida;florida;unitedstates;16
uthealthhoustonschoolofpublichealth;texas;unitedstates;16
universidadefederaldeminasgerais;minasgerais;brazil;15
universityofmichiganmedicalschool;michigan;unitedstates;14
universityofwollongong;newsouthwales;australia;14
tilburguniversity;noord-brabant;netherlands;13
hochiminhcityuniversityoftechnology-hcmut;hochiminhcity;vietnam;12
renminuniversityofchina;beijing;china;12
institutionenforfolkhalso-ochvardvetenskap;uppsala;sweden;12
helsinginyliopisto;uusimaa;finland;11
yildizteknikuniversitesi;istanbul;turkey;11
universityofhafral-batin;ashsharqiyah;saudiarabia;10
oxfordsocialsciencesdivision;oxfordshire;unitedkingdom;10
yorkuniversity;ontario;canada;10
northcarolinacentraluniversity;northcarolina;unitedstates;9
tarbiatmodaresuniversity;tehran;iran;8
universityofjyvaskyla;centralfinland;finland;8
alexandervonhumboldtinstituteforinternetandsociety;berlin;germany;8
universityofcalifornia,irvine;california;unitedstates;7
seegenemedicalfoundation;seoul;southkorea;7
baojiuniversityofartsandsciences;shaanxi;china;7
syddanskuniversitet;syddanmark;denmark;7
nanjinguniversityofscienceandtechnology;jiangsu;china;7
theuniversityofelectro-communications;tokyo;japan;7
collegeofengineering;texas;unitedstates;7
zhejianguniversity;zhejiang;china;6
tsinghuauniversity;beijing;china;5
universityofvermontlarnercollegeofmedicine;vermont;unitedstates;4
ieee;newyork;unitedstates;4
pontificiauniversidadcatolicadechile;regionmetropolitanadesantiago;chile;3
xi'anjiaotonguniversity;shaanxi;china;3
griffithuniversity;queensland;australia;3
hangzhoudianziuniversity;zhejiang;china;3
theaustraliannationaluniversity;australiancapitalterritory;australia;3
technischeuniversiteiteindhoven;noord-brabant;netherlands;2
universitemcgill;quebec;canada;2
mitrecorporation;virginia;unitedstates;2
instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;beijing;china;2
georgiainstituteoftechnology;georgia;unitedstates;1
veermatajijabaitechnologicalinstitute;maharashtra;india;1
instituteofsoftwarechineseacademyofsciences;beijing;china;1
nationaldisastermanagementresearchinstitute;ulsan;southkorea;1
neclaboratoriesamerica,inc.;newjersey;unitedstates;1
independentscholar;australiancapitalterritory;australia;0
universityofillinoisurbana-champaign;illinois;unitedstates;0
nationaldefenseuniversityofmalaysia;kualalumpur;malaysia;0
nationalresearchandinnovationagencyindonesia;;indonesia;0
dairynzlimited;hamilton;newzealand;0
shanghaipublishingandprintingcollege;shanghai;china;0
