affiliation_name;state_name;affiliation_country;citied_by
elevateu;california;unitedstates;124
victoriauniversitymelbourne,instituteforhealthandsport;victoria;australia;102
edithcowanuniversity;westernaustralia;australia;99
"wageningenuniversity&amp;research";gelderland;netherlands;93
princetonuniversity;newjersey;unitedstates;91
universitatbremen;bremen;germany;85
princessalexandrahospital;queensland;australia;75
brighamandwomen'shospital;massachusetts;unitedstates;69
maxplanckinstituteforhumandevelopment;berlin;germany;68
thewarrenalpertmedicalschool;rhodeisland;unitedstates;61
hertfordshirebusinessschool;hertfordshire;unitedkingdom;52
centralsouthuniversity;hunan;china;52
erikjonssonschoolofengineeringandcomputerscience;texas;unitedstates;51
ton-duc-thanguniversity;hochiminhcity;vietnam;50
universitemoulayismail;meknes-tafilalet;morocco;49
donghuauniversity;shanghai;china;49
floridainternationaluniversitycollegeofbusiness;florida;unitedstates;46
rijksuniversiteitgroningen;groningen;netherlands;45
helsinginyliopisto;uusimaa;finland;42
facultyofcommerce;tokyo;japan;42
universidadenovedejulho;saopaulo;brazil;38
universityofbristol;bristol;unitedkingdom;38
oxfordsocialsciencesdivision;oxfordshire;unitedkingdom;37
aalborguniversity;nordjylland;denmark;32
universidadedebrasilia;distritofederal;brazil;30
"texasa&amp;muniversity";texas;unitedstates;28
queenslanduniversityoftechnology;queensland;australia;26
universiteitutrecht;utrecht;netherlands;23
universityofvictoria;britishcolumbia;canada;22
eberhardkarlsuniversitattubingen;baden-wurttemberg;germany;21
harbininstituteoftechnology;heilongjiang;china;21
aarhusuniversitet;midtjylland;denmark;21
googlellc;california;unitedstates;20
yaleschoolofmedicine;connecticut;unitedstates;20
tilburglawschool;noord-brabant;netherlands;20
chandigarhuniversity;punjab;india;20
institutonacionaldeestadisticaygeografia(inegi);aguascalientes;mexico;17
sankaranethralaya;tamilnadu;india;17
"oregonhealth&amp;scienceuniversity";oregon;unitedstates;17
huazhonguniversityofscienceandtechnology;hubei;china;15
vrijeuniversiteitbrussel;brussels-capitalregion;belgium;15
nanfangcollegeofsunyet-senuniversity;guangdong;china;13
universiteduquebecarimouski;quebec;canada;12
mayscancercenter;texas;unitedstates;9
massgeneralbrigham;massachusetts;unitedstates;9
collegeofengineering;massachusetts;unitedstates;8
policytracker;;unitedkingdom;7
universityofbritishcolumbia,facultyofmedicine;britishcolumbia;canada;7
shahidchamranuniversityofahvaz;khuzestan;iran;7
morehouseschoolofmedicine;georgia;unitedstates;6
stategridcorporationofchina;beijing;china;6
mayoclinic;minnesota;unitedstates;6
bangoruniversity;gwynedd;unitedkingdom;6
universitedelausanne(unil);vaud;switzerland;6
technischeuniversitatdarmstadt;hessen;germany;5
institutonacionaldegeriatria;mexico;mexico;5
theaustraliannationaluniversity;australiancapitalterritory;australia;5
shandongnormaluniversity;shandong;china;5
europeanparliament;brussels;belgium;4
universityofbern;bern;switzerland;4
chinashipdevelopmentanddesigncenter;hubei;china;3
yunnannormaluniversity;yunnan;china;3
collegeofengineering,guindy;tamilnadu;india;2
johnshopkinsbloombergschoolofpublichealth;maryland;unitedstates;2
dartmouthcollege;newhampshire;unitedstates;2
collegeofengineeringandcomputerscience;newyork;unitedstates;2
sunyat-senuniversity;guangdong;china;1
fudanuniversity;shanghai;china;1
jiangxiuniversityofchinesemedicine;jiangxi;china;1
wuhanuniversity;hubei;china;1
universityoftorontofacultyofmedicine;ontario;canada;0
pr3vent;california;unitedstates;0
