affiliation_name;state_name;affiliation_country;citied_by
beijingacademyofagricultureandforestrysciences;beijing;china;21
universidadedebrasilia;distritofederal;brazil;18
collegeofengineering;california;unitedstates;16
universityofmassachusettsamherst;massachusetts;unitedstates;14
nanfangcollegeofsunyet-senuniversity;guangdong;china;14
changshauniversity;hunan;china;9
iveybusinessschool;ontario;canada;9
norduniversitet;nordland;norway;8
tsinghuauniversity;beijing;china;7
southwestuniversity;chongqing;china;7
gwangjuinstituteofscienceandtechnology;gwangju;southkorea;5
instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;beijing;china;5
oxfordsocialsciencesdivision;oxfordshire;unitedkingdom;5
"nanjinguniversityofinformationscience&amp;technology";jiangsu;china;5
tashkentstateuniversityofeconomics;tashkent;uzbekistan;4
instituteofinformationengineering;beijing;china;4
gujaratuniversity;gujarat;india;3
collegeofengineering;georgia;unitedstates;3
nationalsatellitemeteorologicalcenterbeijing;beijing;china;3
shanghaijiaotonguniversity;shanghai;china;2
universityofsouthafrica;gauteng;southafrica;1
peoplesliberationarmyengineeringuniversity;jiangsu;china;1
theuniversityofwesternaustralia;westernaustralia;australia;1
brooklyncollege;newyork;unitedstates;1
vishwakarmainstituteoftechnology;maharashtra;india;1
hanoiuniversityofcivilengineering;hanoi;vietnam;1
aaltouniversity;uusimaa;finland;1
visvesvarayatechnologicaluniversity;karnataka;india;0
universityofthefreestate;freestate;southafrica;0
wenzhouuniversity;zhejiang;china;0
konkukuniversity;seoul;southkorea;0
shahidbeheshtiuniversity;tehran;iran;0
liaoningnormaluniversity;liaoning;china;0
kldeemedtobeuniversity;andhrapradesh;india;0
"kingfaisalspecialisthospital&amp;researchcentre";arriyad;saudiarabia;0
instituteofautomationchineseacademyofsciences;beijing;china;0
guilinuniversityofelectronictechnology;guangxi;china;0
dhanabhagiyamkrishnasamymudaliarcollegeforwomen;tamilnadu;india;0
cyprusuniversityoftechnology;limassol;cyprus;0
capitalnormaluniversity;beijing;china;0
beijinguniversityoftechnology;beijing;china;0
beijinguniversityofchinesemedicine;beijing;china;0
wuhanuniversity;hubei;china;0
