affiliation_name;state_name;affiliation_country;citied_by
drexeluniversity;pennsylvania;unitedstates;59
veteranshealthadministration,u.s.departmentofveteranaffairs;;unitedstates;56
narainstituteofscienceandtechnology;nara;japan;28
michiganstateuniversity;michigan;unitedstates;22
universidaddemurcia;murcia;spain;19
shanghaijiaotonguniversity;shanghai;china;16
malaviyanationalinstituteoftechnologyjaipur;rajasthan;india;15
theuniversityofnorthcarolinaatchapelhill;northcarolina;unitedstates;14
stanforduniversityschoolofmedicine;california;unitedstates;14
harvardmedicalschool;massachusetts;unitedstates;13
galgotiasuniversity;uttarpradesh;india;11
macaopolytechnicuniversity;macau;macao;11
instituteofinformationengineering;beijing;china;11
indianinstituteofscience;karnataka;india;10
graduateschoolofagriculturalandlifesciencestheuniversityoftokyo;tokyo;japan;9
donagheycollegeofscience,technology,engineering,andmathematics;arkansas;unitedstates;8
collegeofengineeringandappliedscience;colorado;unitedstates;8
nagaokauniversityoftechnology;niigata;japan;8
zhengzhouuniversity;henan;china;7
evermedicaltechnologies;;;7
universityofflorida;florida;unitedstates;6
bennettuniversity;uttarpradesh;india;6
universidadpolitecnicademadrid;madrid;spain;5
tsinghuauniversity;beijing;china;5
malatyaturgutozaluniversity;malatya;turkey;5
sanjosestateuniversity;california;unitedstates;4
imamabdulrahmanbinfaisaluniversity;ashsharqiyah;saudiarabia;4
universitatheidelberg;baden-wurttemberg;germany;4
collegeofengineeringandcomputing;missouri;unitedstates;4
northwesternuniversityfeinbergschoolofmedicine;illinois;unitedstates;4
ecolesuperieureengenieelectriqueetenergetiqued'oran;oran;algeria;3
universityofchineseacademyofsciences;beijing;china;3
sichuanuniversity;sichuan;china;3
schoolofengineering;coventry;unitedkingdom;3
addisababauniversity;addisababa;ethiopia;3
kaiserpermanente;california;unitedstates;3
thecityuniversityofnewyork;newyork;unitedstates;2
netajisubhasuniversityoftechnology;delhi;india;2
vishwakarmainstituteofinformationtechnology;maharashtra;india;2
velloreinstituteoftechnology;tamilnadu;india;2
psgcollegeoftechnology;tamilnadu;india;2
rijksuniversiteitgroningen;groningen;netherlands;2
hun-renhungarianresearchcentreforlinguistics;budapest;hungary;2
universityofcincinnati;ohio;unitedstates;2
guangdonguniversityoftechnology;guangdong;china;2
escuelaandaluzasaludpublica;granada;spain;2
beijingjiaotonguniversity;beijing;china;1
visvesvarayanationalinstituteoftechnology,nagpur;maharashtra;india;1
hefeiuniversityoftechnology;anhui;china;1
indianinstituteoftechnologykharagpur;westbengal;india;1
bhagwantuniversity;rajasthan;india;1
hubeiuniversityoftechnology;hubei;china;1
mayoclinicinrochester,minnesota;minnesota;unitedstates;1
pazmanypeterkatolikusegyetem;budapest;hungary;1
shanghaisandauniversity;shanghai;china;1
manipaluniversityjaipur;rajasthan;india;1
sirpadampatsinghaniauniversity;rajasthan;india;1
universityoftorontofacultyofmedicine;ontario;canada;0
wasedauniversity;tokyo;japan;0
beijinguniversityofpostsandtelecommunications;beijing;china;0
pontificiauniversidadecatolicadoriodejaneiro;riodejaneiro;brazil;0
upmcchildren'shospitalofpittsburgh;pennsylvania;unitedstates;0
ltd.;beijing;china;0
universityoftheimmaculateconception;davaodelsur;philippines;0
davaodelsurstatecollege;davao;philippines;0
jiangnanuniversity;jiangsu;china;0
"jssmedicalcollege&amp;hospital,mysuru";karnataka;india;0
govt.khetanpolytechniccollege;rajasthan;india;0
theuniversityoftokyo;tokyo;japan;0
puducherrytechnologicaluniversity;puducherry;india;0
