affiliation_name;state_name;affiliation_country;citied_by
ciceco-institutodemateriaisdeaveiro;aveiro;portugal;3
universityoftechnologysydney;newsouthwales;australia;3
northeasternuniversity;massachusetts;unitedstates;2
lincolnuniversitycollege,malaysia;selangor;malaysia;1
worldpsychiatricassociation;geneva;switzerland;1
theuniversityofchicago;illinois;unitedstates;1
dhofaruniversity;dhofar;oman;1
universitateaspiruharet;bucharest;romania;0
universiteitleiden;zuid-holland;netherlands;0
universiteitantwerpen;van;belgium;0
universitatroviraivirgili;tarragona;spain;0
universitatluzern;lucerne;switzerland;0
universidadpolitecnicademadrid;madrid;spain;0
universitasnegeriyogyakarta;yogyakarta;indonesia;0
universityofeconomics-varna;varna;bulgaria;0
universidadnacionaltecnologicadelimasur;lima;peru;0
universidaddesalamanca;salamanca;spain;0
universidaddecadiz;cadiz;spain;0
universidadautonomademadrid;madrid;spain;0
universititunhusseinonnmalaysia;johor;malaysia;0
banrasidaschandiwalainstituteofprofessionalstudies;;india;0
universityofforthare;easterncape;southafrica;0
universityofkansas;kansas;unitedstates;0
universityofkwazulu-natal;kwazulu-natal;southafrica;0
universityoflagos;lagos;nigeria;0
universityofnevada,reno;nevada;unitedstates;0
universityofottawa;ontario;canada;0
universityofpretoria;gauteng;southafrica;0
universityofprimorska;koper;slovenia;0
universityofsharjah;sharjah;unitedarabemirates;0
universityoftoronto;ontario;canada;0
uppsalauniversitet;uppsala;sweden;0
virginiapolytechnicinstituteandstateuniversity;virginia;unitedstates;0
wuhanuniversity;hubei;china;0
u.s.departmentofveteransaffairs;districtofcolumbia;unitedstates;0
templeuniversity;pennsylvania;unitedstates;0
theopenuniversityofchina;beijing;china;0
mapuauniversity;manila;philippines;0
collegeofagriculture;bihar;india;0
collegeofbusinessandeconomics;gauteng;southafrica;0
collegeofengineering;texas;unitedstates;0
edresearcher;newyork;unitedstates;0
firsttechnicaluniversity;oyo;nigeria;0
hindustaninstituteoftechnologyandscience;tamilnadu;india;0
humansciencesresearchcouncilofsouthafrica;gauteng;southafrica;0
indianauniversity-purdueuniversityindianapolis;indiana;unitedstates;0
indianauniversitybloomington;indiana;unitedstates;0
iuinternationalehochschulegmbh;thuringen;germany;0
kadirhasuniversitesi;istanbul;turkey;0
kafkasuniversitesi;kars;turkiye;0
kwarastateuniversity;kwara;nigeria;0
marwadiuniversity;gujarat;india;0
"texasa&amp;muniversity";texas;unitedstates;0
melbournelawschool;victoria;australia;0
mitmedialab;massachusetts;unitedstates;0
pennsylvaniastateuniversity;pennsylvania;unitedstates;0
pukyongnationaluniversity;busan;southkorea;0
radbouduniversiteit;gelderland;netherlands;0
rhodesuniversity;easterncape;southafrica;0
sorbonneuniversityabudhabi;abudhabi;unitedarabemirates;0
southwestuniversity;chongqing;china;0
stanforduniversity;california;unitedstates;0
"symbiosisschoolofbanking&amp;finance";maharashtra;india;0
technischeuniversitatberlin;berlin;germany;0
technologyconsultingandresearch;lagos;nigeria;0
centraluniversityoffinanceandeconomics;beijing;china;0
zhejianguniversity;zhejiang;china;0
