affiliation_name;state_name;affiliation_country;citied_by
schoolofmedicine;amman;jordan;1282
kingfaisaluniversity;ashsharqiyah;saudiarabia;478
hopitalerasme;brussels-capitalregion;belgium;420
harvardmedicalschool;massachusetts;unitedstates;370
imamabdulrahmanbinfaisaluniversity;ashsharqiyah;saudiarabia;334
theuniversityoftexasmdandersoncancercenter;texas;unitedstates;307
cedars-sinaimedicalcenter;california;unitedstates;299
journalofamericanmedicalassociation;illinois;unitedstates;231
canberrahealthservices;australiancapitalterritory;australia;169
victoriauniversity;victoria;australia;162
vanderbiltuniversityschoolofengineering;tennessee;unitedstates;156
harvardt.h.chanschoolofpublichealth;massachusetts;unitedstates;132
bundesinstitutfurrisikobewertung;berlin;germany;127
theuniversityoftexasataustin;texas;unitedstates;126
sinaihospitalofbaltimore;maryland;unitedstates;124
northsouthuniversity;dhaka;bangladesh;119
universityofpennsylvaniaschoolofdentalmedicine;pennsylvania;unitedstates;117
chitkarauniversity,punjab;punjab;india;116
chengduuniversityoftraditionalchinesemedicine;sichuan;china;116
universityofoxfordmedicalsciencesdivision;oxfordshire;unitedkingdom;116
northeasternindiragandhiregionalinstituteofhealthandmedicalsciences;meghalaya;india;111
ministryofhealthofpeople'srepublicofchina;beijing;china;103
nationalinstituteoftechnologyhamirpur;himachalpradesh;india;101
izmirbakircayuniversity;izmir;turkey;98
slaskiuniwersytetmedycznywkatowicach;silesianvoivodeship;poland;97
thehospitalforsickchildren;ontario;canada;92
globalresearchinstituteoftechnologyandengineering;northcarolina;unitedstates;88
kasturbamedicalcollege,manipal;karnataka;india;86
massachusettscollegeofpharmacyandhealthsciences;massachusetts;unitedstates;86
eberhardkarlsuniversitattubingen;baden-wurttemberg;germany;85
lawrenceberkeleynationallaboratory;california;unitedstates;84
llc;alabama;unitedstates;81
californiainstituteoftechnologydivisionofengineeringandappliedscience;california;unitedstates;79
gitamuniversity;andhrapradesh;india;74
nantonguniversity;jiangsu;china;74
vageloscollegeofphysiciansandsurgeons;newyork;unitedstates;68
googlellc;california;unitedstates;67
collegeofengineering;iowa;unitedstates;65
universityhealthnetwork;ontario;canada;65
clevelandclinicfoundation;ohio;unitedstates;64
universityofmississippischoolofpharmacy;mississippi;unitedstates;63
universitateadinbucuresti;bucharest;romania;60
universityofcalifornia,sandiego;california;unitedstates;60
inonuuniversitesitipfakultesi;malatya;turkey;59
weillcornellmedicine;newyork;unitedstates;58
qingdaouniversity;shandong;china;58
ethzurich;zurich;switzerland;58
vanderbiltuniversitymedicalcenter;tennessee;unitedstates;57
universityofpittsburghschoolofmedicine;pennsylvania;unitedstates;57
"merck&amp;co.,inc.";newjersey;unitedstates;53
universityoftexashealthsciencecenterathouston;texas;unitedstates;51
princessnourahbintabdulrahmanuniversity;arriyad;saudiarabia;51
delhi;louisiana;unitedstates;51
universityofchineseacademyofsciences;beijing;china;51
instituteforsystemsbiology;washington;unitedstates;51
pekinguniversitythirdhospital;beijing;china;50
eisaiinc.;newjersey;unitedstates;50
universitatbielefeld;nordrhein-westfalen;germany;49
julius-maximilians-universitatwurzburg;bayern;germany;49
universityofmichiganmedicalschool;michigan;unitedstates;48
dukeuniversity;northcarolina;unitedstates;47
stanforduniversity;california;unitedstates;47
universidadedesaopaulo;saopaulo;brazil;47
sunyat-senuniversitycancercenter;guangdong;china;46
beijingchesthospital,capitalmedicaluniversity;beijing;china;46
virginiacommonwealthuniversity;virginia;unitedstates;46
alberteinsteincollegeofmedicine;newyork;unitedstates;46
mayoclinicscottsdale-phoenix,arizona;arizona;unitedstates;45
