affiliation_name;state_name;affiliation_country;citied_by
westlakeuniversity;zhejiang;china;795
xi'anjiaotonguniversity;shaanxi;china;728
swinburneuniversityoftechnology;victoria;australia;604
proteindatabank;newjersey;unitedstates;354
northeasternuniversity;massachusetts;unitedstates;345
universitikebangsaanmalaysia;selangor;malaysia;328
schoolofengineeringandinformationtechnology;victoria;australia;326
queenslanduniversityoftechnology;queensland;australia;306
universityofmaryland,collegepark;maryland;unitedstates;268
asianuniversityforwomen;chittagong;bangladesh;264
harbininstituteoftechnology;heilongjiang;china;242
chitkarauniversity,punjab;punjab;india;242
beijingnormaluniversity;beijing;china;241
americanuniversityofthemiddleeast;alahmadi;kuwait;234
macquarieuniversity;newsouthwales;australia;230
xidianuniversity;shaanxi;china;225
gurunanakdevengineeringcollege,ludhiana;punjab;india;216
universityofbath,departmentofcomputerscience;somerset;unitedkingdom;189
bandirmaonyedieyluluniversity;balikesir;turkey;183
shirazuniversityoftechnology;fars;iran;172
northwestuniversity;shaanxi;china;163
ondokuzmayisuniversitesi;samsun;turkiye;162
"institut""jozefstefan""";ljubljana;slovenia;157
universidaddemurcia;murcia;spain;156
nanjinguniversityofchinesemedicine;jiangsu;china;153
theuniversityofauckland;aucklandregion;newzealand;152
kennesawstateuniversity;georgia;unitedstates;152
beijinguniversityofchemicaltechnology;beijing;china;148
nirmauniversity,instituteoftechnology;gujarat;india;148
changshauniversityofscienceandtechnology;hunan;china;147
zhongkaiuniversityofagricultureandengineering;guangdong;china;146
jagannathuniversity,bangladesh;dhaka;bangladesh;144
wuhantextileuniversity;hubei;china;141
samhoustonstateuniversity;texas;unitedstates;141
centralsouthuniversity;hunan;china;140
zhejianggongshanguniversity;zhejiang;china;138
nationalinstituteoftextileengineeringandresearch(niter),universityofdhaka;dhaka;bangladesh;137
llc;massachusetts;unitedstates;137
hunanuniversityofscienceandtechnology;hunan;china;136
collegeofenvironmentalandresourcesciences;zhejiang;china;136
lutuniversity;southkarelia;finland;133
bennettuniversity;uttarpradesh;india;130
hohaiuniversity;jiangsu;china;130
rangsituniversity;pathumthani;thailand;130
shanghaiuniversity;shanghai;china;130
nanjinguniversity;jiangsu;china;130
hunanuniversity;hunan;china;129
princesattambinabdulazizuniversity;arriyad;saudiarabia;127
birlainstituteoftechnologyandscience,pilani;rajasthan;india;125
northwesternpolytechnicaluniversity;shaanxi;china;124
manipaluniversityjaipur;rajasthan;india;122
chineseacademyofsciences;beijing;china;121
soochowuniversity;jiangsu;china;120
wenzhouuniversity;zhejiang;china;120
wuhanuniversity;hubei;china;119
ecoledetechnologiesuperieure;quebec;canada;119
nanchanguniversity;jiangxi;china;117
universityofpennsylvaniaschoolofdentalmedicine;pennsylvania;unitedstates;117
universityofguelph;ontario;canada;115
theuniversityofnewcastle,australia;newsouthwales;australia;114
kazinazruluniversity;westbengal;india;113
centrehospitalieruniversitairevaudois;vaud;switzerland;112
shenyangaerospaceuniversity;liaoning;china;110
northuniversityofchina;shanxi;china;110
electronicsandtelecommunicationsresearchinstitute;daejeon;southkorea;109
masseyuniversityauckland;aucklandregion;newzealand;107
googlellc;california;unitedstates;106
drexeluniversity;pennsylvania;unitedstates;106
northsouthuniversity;dhaka;bangladesh;104
memorialuniversityofnewfoundland;newfoundlandandlabrador;canada;104
instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;beijing;china;104
shaanxinormaluniversity;shaanxi;china;103
