affiliation_name;state_name;affiliation_country;citied_by
statekeylaboratoryofinorganicsynthesisandpreparativechemistry;jilin;china;5
publichealthagencyofcanada;ontario;canada;5
zhejianguniversityschoolofmedicine;zhejiang;china;5
faculdadedecienciasdauniversidadedelisboa;lisboa;portugal;5
hunanuniversityoftechnology;hunan;china;5
jiangsuuniversityofscienceandtechnology;jiangsu;china;5
"noidainstituteofengineering&amp;technology";uttarpradesh;india;5
kyushuuniversity;fukuoka;japan;5
universidadefederaldepernambuco;pernambuco;brazil;5
schoolofearthsciences,zhejianguniversity;zhejiang;china;5
kennesawstateuniversity;georgia;unitedstates;5
wuhanuniversityoftechnology;hubei;china;5
suranareeuniversityoftechnology;nakhonratchasima;thailand;5
chonnamnationaluniversity;gwangju;southkorea;5
velloreinstituteoftechnology,chennai;tamilnadu;india;5
instituteofgeochemistrychineseacademyofsciences;guizhou;china;5
fundacionuniversitariakonradlorenz;bogota;colombia;5
howardhughesmedicalinstitutejaneliafarmresearchcampus;virginia;unitedstates;5
universityofmichigan,annarbor;michigan;unitedstates;5
universititenaganasional;selangor;malaysia;5
hunternewenglandnswhealth;newsouthwales;australia;5
bernerfachhochschule;bern;switzerland;5
nationalyangmingchiaotunguniversity;hsinchu;taiwan;5
davidgeffenschoolofmedicineatucla;california;unitedstates;5
shanghaiuniversityoffinanceandeconomics;shanghai;china;4
shanghaiuniversityofelectricpower;shanghai;china;4
universitisultanzainalabidin;terengganu;malaysia;4
universityofalaskafairbanks;alaska;unitedstates;4
universityofagriculturalandhorticulturalsciences;karnataka;india;4
bucharestuniversityofeconomicstudies;bucharest;romania;4
lanzhouuniversity;gansu;china;4
kozminskiuniversity;lesserpolandvoivodeship;poland;4
xi'antechnologicaluniversity;shaanxi;china;4
xi'anjiaotonguniversity;shaanxi;china;4
agencyforhealthcareresearchandquality;maryland;unitedstates;4
gmrinstituteoftechnology;andhrapradesh;india;4
germanresearchcenterforartificialintelligence(dfki);rheinland-pfalz;germany;4
universityofprinceedwardisland;princeedwardisland;canada;4
georgiainstituteoftechnology;georgia;unitedstates;4
georgemasonuniversity;virginia;unitedstates;4
universityofkent;kent;unitedkingdom;4
universityofillinoisurbana-champaign;illinois;unitedstates;4
zhejiangbusinesscollege;zhejiang;china;4
nationalinstituteoftechnologytiruchirappalli;tamilnadu;india;4
foodanddrugadministration;maryland;unitedstates;4
floridaatlanticuniversity;florida;unitedstates;4
fiucollegeofengineeringandcomputing;florida;unitedstates;4
zentrumfureuropaischewirtschaftsforschunggmbh;baden-wurttemberg;germany;4
shenyangagriculturaluniversity;liaoning;china;4
montclairstateuniversity;newjersey;unitedstates;4
erikjonssonschoolofengineeringandcomputerscience;texas;unitedstates;4
princesattambinabdulazizuniversity;arriyad;saudiarabia;4
occuity;reading;unitedkingdom;4
universityclinicofendocrinology;skopje;northmacedonia;4
theuniversityoftoledo;ohio;unitedstates;4
vrijeuniversiteitamsterdam;noord-holland;netherlands;4
universidadpontificiacomillas,escuelatecnicasuperiordeingenieria,institutodeinvestigaciontecnologica;madrid;spain;4
collegeofengineeringandcomputerscience;florida;unitedstates;4
internationalresearchcenterofbigdataforsustainabledevelopmentgoals;beijing;china;4
sunyat-senuniversity;guangdong;china;4
tohokuuniversity;miyagi;japan;4
tongjiuniversity;shanghai;china;4
beijingforestryuniversity;beijing;china;4
southwesternuniversityoffinanceandeconomics;sichuan;china;4
"collegeofengineering&amp;mines";northdakota;unitedstates;4
southchinauniversityoftechnology;guangdong;china;4
chaibasaengineeringcollege;jharkhand;india;4
technischeuniversitatdresden;sachsen;germany;4
simonfraseruniversity;britishcolumbia;canada;4
aarhusuniversitet;midtjylland;denmark;4
istanbulteknikuniversitesi;istanbul;turkey;4
collegeofenergyengineering,zhejianguniversity;zhejiang;china;4
huazhongagriculturaluniversity;hubei;china;3
"ningbouniversityoffinance&amp;economics";zhejiang;china;3
"northwesta&amp;funiversity";shaanxi;china;3
chineseresearchacademyofenvironmentalsciences;beijing;china;3
changchununiversityoftechnology;jilin;china;3
theuniversityofdodoma;dodoma;tanzania;3
yakindoguuniversitesi;nicosia;cyprus;3
hospitaluniversitarioreinasofia;cordoba;spain;3
vrijeuniversiteitbrussel;brussels-capitalregion;belgium;3
wenzhoubusinesscollege;zhejiang;china;3
chongqingtechnologyandbusinessuniversity;chongqing;china;3
nazarbayevuniversity;astana;kazakhstan;3
nationalinstituteoftechnologymizoram;mizoram;india;3
weillcornellmedicine;newyork;unitedstates;3
northwestinstituteofeco-environmentandresources;gansu;china;3
chineseacademyofsciences;beijing;china;3
massachusettsinstituteoftechnology;massachusetts;unitedstates;3
harvarduniversity;massachusetts;unitedstates;3
louisianastateuniversity;washington;unitedstates;3
harvardmedicalschool;massachusetts;unitedstates;3
ltd.;beijing;china;3
beijinguniversityoftechnology;beijing;china;3
latinamericanreservefund;bogota;colombia;3
universityofoxford;oxfordshire;unitedkingdom;3
universityofuyo;akwaibom;nigeria;3
marwadiuniversity;gujarat;india;3
henanuniversityofchinesemedicine;henan;china;3
shiheziuniversity;xinjiang;china;3
instituteofmountainhazardsandenvironment,chineseacademyofsciences;sichuan;china;3
bahcesehiruniversitesi;istanbul;turkey;3
yanshanuniversity;hebei;china;3
guangdonguniversityoftechnology;guangdong;china;3
kunminguniversityofscienceandtechnology;yunnan;china;3
chinauniversityofminingandtechnology;jiangsu;china;3
indianinstituteoftoxicologyresearch;uttarpradesh;india;3
theworldacademyofsciencesunesco;trieste;italy;3
akdenizuniversitesi;antalya;turkiye;3
northwesternpolytechnicaluniversity;shaanxi;china;3
universityofwashington;washington;unitedstates;3
colegiouniversitariodeestudiosfinancieros;madrid;spain;3
universityofbotswana;gaborone;botswana;3
amritauniversity,amritapuricampus;kerala;india;3
velloreinstituteoftechnology;tamilnadu;india;3
ramauniversity;uttarpradesh;india;3
researchcenterforeco-environmentalscienceschineseacademyofsciences;beijing;china;3
rheinisch-westfalischetechnischehochschuleaachen;nordrhein-westfalen;germany;3
wenzhouuniversity;zhejiang;china;3
hunanuniversityofscienceandengineering;hunan;china;3
st.john'suniversity;newyork;unitedstates;3
keylaboratoryofroadandtrafficengineeringofthestateministryofeducation;shanghai;china;3
universityofvictoria;britishcolumbia;canada;3
dokuzeyluluniversitesi;izmir;turkiye;3
schoolofmedicineandpublichealth;newsouthwales;australia;3
universityatbuffalo,thestateuniversityofnewyork;newyork;unitedstates;3
schooloftheearthsciencesandresources;beijing;china;3
collegeofenvironmentalandresourcesciences;zhejiang;china;3
westernmichiganuniversity;michigan;unitedstates;3
kansasstateuniversity;kansas;unitedstates;3
universityoftras-os-montesandaltodouro;vilareal;portugal;3
centraluniversityoffinanceandeconomics;beijing;china;3
elhsinstitute;california;unitedstates;3
princessnourahbintabdulrahmanuniversity;arriyad;saudiarabia;3
collegeofchemicalandbiologicalengineering,zhejianguniversity;zhejiang;china;3
icar-sugarcanebreedinginstitute,coimbatore;tamilnadu;india;3
unswsydney;newsouthwales;australia;3
universityofcapetown;westerncape;southafrica;3
khulnauniversityofengineeringandtechnology;khulna;bangladesh;3
xiamenuniversity;fujian;china;3
universidadefederaldoriodejaneiro;riodejaneiro;brazil;3
dalianinstituteofchemicalphysicschineseacademyofsciences;liaoning;china;3
phenikaauniversity;hanoi;vietnam;3
universitedelausanne(unil);vaud;switzerland;3
sichuanagriculturaluniversity;sichuan;china;3
universiteitantwerpen;van;belgium;3
hunannormaluniversity;hunan;china;3
universiteitvanamsterdam;noord-holland;netherlands;3
universitimalaysiapahangal-sultanabdullah;pahang;malaysia;3
johnf.kennedyschoolofgovernment;massachusetts;unitedstates;2
latrobeuniversity;victoria;australia;2
k.s.rangasamycollegeoftechnology;tamilnadu;india;2
universityofthephilippinesdiliman;quezoncity;philippines;2
zhengzhouuniversity;henan;china;2
lanzhoujiaotonguniversity;gansu;china;2
jilinuniversity;jilin;china;2
lehighuniversity;pennsylvania;unitedstates;2
zhejiangnormaluniversity;zhejiang;china;2
jiangmenpolytechnic;guangdong;china;2
kldeemedtobeuniversity;andhrapradesh;india;2
universityofscience,vietnamnationaluniversityhochiminhcity;hochiminhcity;vietnam;2
universityofsouthernqueensland;queensland;australia;2
iowastateuniversity;iowa;unitedstates;2
universityofvirginiaschoolofengineeringandappliedscience;virginia;unitedstates;2
istanbulbilgiuniversitesi;istanbul;turkiye;2
jamescookuniversity;queensland;australia;2
jointvietnam-russiatropicalscienceandtechnologyresearchcenter;hanoi;vietnam;2
umeauniversitet;vasterbotten;sweden;2
yunnannormaluniversity;yunnan;china;2
ltd.;shanghai;china;2
shahidbeheshtiuniversity;tehran;iran;2
shandongagriculturaluniversity;shandong;china;2
universitatobertadecatalunya;barcelona;spain;2
westernuniversity;ontario;canada;2
shenyangaerospaceuniversity;liaoning;china;2
southchinaagriculturaluniversity;guangdong;china;2
southchinanormaluniversity;guangdong;china;2
universitatbielefeld;nordrhein-westfalen;germany;2
southwestuniversityofscienceandtechnology;sichuan;china;2
tagoreinstituteofengineeringandtechnology;tamilnadu;india;2
universidadepaulista;saopaulo;brazil;2
technischeuniversitatmunchen;bayern;germany;2
tepperschoolofbusiness;pennsylvania;unitedstates;2
thefirstaffiliatedhospitalofguangximedicaluniversity;guangxi;china;2
theuniversityofaizu;fukushima;japan;2
theuniversityofalabamaatbirmingham;alabama;unitedstates;2
theuniversityofauckland;aucklandregion;newzealand;2
theuniversityofvermont;vermont;unitedstates;2
universidaddeantioquia;antioquia;colombia;2
uncgillingsschoolofglobalpublichealth;northcarolina;unitedstates;2
tsinghuauniversity;beijing;china;2
ucberkeleyschoolofinformation;california;unitedstates;2
uclasamuelischoolofengineering;california;unitedstates;2
scientificwritingandpublishing;berlin;germany;2
saveethaschoolofengineering;tamilnadu;india;2
sandianationallaboratories,newmexico;newmexico;unitedstates;2
universityofinternationalbusinessandeconomics;beijing;china;2
lylesschoolofcivilandconstructionengineering;indiana;unitedstates;2
macquarieuniversity;newsouthwales;australia;2
meharrymedicalcollege;tennessee;unitedstates;2
yorkuniversity;ontario;canada;2
universityofwisconsin-madison;wisconsin;unitedstates;2
yazduniversity;yazd;iran;2
ministryofeducation;dhaka;bangladesh;2
"mktox&amp;coltd";suffolk;unitedkingdom;2
monashuniversity;victoria;australia;2
universityofmaryland,collegepark;maryland;unitedstates;2
yaleschoolofmedicine;connecticut;unitedstates;2
sakaryauniversitesi;sakarya;turkiye;2
nationalinstituteoftechnologykurukshetra;haryana;india;2
universityofgondar;amhara;ethiopia;2
nationalmultiplesclerosissociety;newyork;unitedstates;2
nationaluniversityofdefensetechnologychina;hunan;china;2
