affiliation_name;state_name;affiliation_country;citied_by
duzceuniversitesi;duzce;turkiye;117
teerthankermahaveeruniversity,moradabad;uttarpradesh;india;35
mitschoolofengineering;massachusetts;unitedstates;35
bulacanstateuniversity;bulacan;philippines;25
universityofchineseacademyofsciences;beijing;china;24
schoolofengineeringandappliedscience;newjersey;unitedstates;23
virginiapolytechnicinstituteandstateuniversity;virginia;unitedstates;18
magnadonnelly;michigan;unitedstates;15
iebusinessschool;madrid;spain;13
americanuniversityofthemiddleeast;alahmadi;kuwait;9
universitasgadjahmada;yogyakarta;indonesia;8
johnshopkinsuniversity;maryland;unitedstates;8
chandigarhgroupofcollegesjhanjeri;punjab;india;8
wuhanuniversity;hubei;china;8
northsouthuniversity;dhaka;bangladesh;7
schoolofcomputerscience;newsouthwales;australia;7
lancastermedicalschool;lancashire;unitedkingdom;7
universityofcalifornia,berkeley;california;unitedstates;6
nanfangcollegeofsunyet-senuniversity;guangdong;china;6
universityoftechnologysydney;newsouthwales;australia;5
feuinstituteoftechnology;manila;philippines;4
gonobishwabidyalay;dhaka;bangladesh;4
beijinguniversityoftechnology;beijing;china;4
stategridcorporationofchina;beijing;china;4
universityofhouston;texas;unitedstates;3
airforceengineeringuniversitychina;shaanxi;china;2
kennesawstateuniversity;georgia;unitedstates;2
kingabdulazizcityforscienceandtechnology;arriyad;saudiarabia;1
hebrewuniversityofjerusalem;jerusalem;israel;1
chinaassetmanagementco.ltd.;beijing;china;1
donmarianomarcosmemorialstateuniversity;launion;philippines;0
beijinginstituteofgraphiccommunication;beijing;china;0
zffriedrichshafenag;baden-wurttemberg;germany;0
