affiliation_name;state_name;affiliation_country;citied_by
vamedicalcenter;;unitedstates;4998
mcmasteruniversity;ontario;canada;1483
"instituteofpostgraduatemedicaleducation&amp;research";westbengal;india;1302
federalreserveboard;;;1267
univerzavljubljani;ljubljana;slovenia;1214
oxfordsocialsciencesdivision;oxfordshire;unitedkingdom;928
universityofillinoisurbana-champaign;illinois;unitedstates;851
universitatzurich;zurich;switzerland;631
universidaddechile;regionmetropolitanadesantiago;chile;561
eotvoslorandtudomanyegyetem;budapest;hungary;534
institutesofscienceanddevelopment;beijing;china;483
jamescookuniversity;queensland;australia;437
princesultanuniversity;arriyad;saudiarabia;436
leshanteacherscollege;sichuan;china;423
latrobebusinessschool;victoria;australia;422
vancouverislanduniversity;britishcolumbia;canada;391
technischeuniversitatdresden;sachsen;germany;361
theuniversityoftexasatsanantonio;texas;unitedstates;349
syddanskuniversitet;syddanmark;denmark;313
northchinaelectricpoweruniversity(baoding);hebei;china;308
manipalcollegeofhealthprofessions;karnataka;india;287
universityofeastanglia;norfolk;unitedkingdom;272
southwesternuniversityoffinanceandeconomics;sichuan;china;247
universityofalaskafairbanks;alaska;unitedstates;238
chinauniversityofpetroleum(eastchina);shandong;china;236
schoolofmedicineandpsychology;australiancapitalterritory;australia;225
"schoolofeconomics&amp;management";jiangsu;china;222
theuniversityoftexasataustin;texas;unitedstates;220
harvardforest;massachusetts;unitedstates;219
jiangsuuniversity;jiangsu;china;213
theuniversityofvermont;vermont;unitedstates;213
jahangirnagaruniversity;dhaka;bangladesh;207
schoolofmanagement;fife;unitedkingdom;190
bangladeshruraladvancementcommittee;dhaka;bangladesh;190
masseybusinessschool;manawatu-wanganuiregion;newzealand;189
children'smemorialhospital;illinois;unitedstates;174
polishairforceuniversity;lublinvoivodeship;poland;173
universitelaval;quebec;canada;167
johnmolsonschoolofbusiness;quebec;canada;165
pennsylvaniastateuniversity;pennsylvania;unitedstates;151
yaleuniversity;connecticut;unitedstates;147
yale-newhavenhospital;connecticut;unitedstates;146
nationalinstituteofoccupationalhealthindia;gujarat;india;144
christian-albrechts-universitatzukiel;schleswig-holstein;germany;143
universidaddelnorte;atlantico;colombia;143
hankukuniversityofforeignstudies;seoul;southkorea;141
theworldbank,usa;washington,d.c.;unitedstates;138
polishacademyofsciences;lesserpolandvoivodeship;poland;136
nanjingaudituniversity;jiangsu;china;133
universityofminnesotatwincities;minnesota;unitedstates;133
schoolofbusinessuniversityofjordan;amman;jordan;132
pondicherryuniversity;puducherry;india;132
universidadautonomademadrid;madrid;spain;130
drexeluniversity;pennsylvania;unitedstates;126
bankforinternationalsettlements;basel-stadt;switzerland;124
vinodguptaschoolofmanagement;westbengal;india;123
beijinguniversityofchemicaltechnology;beijing;china;120
universityofneworleans;louisiana;unitedstates;119
skylineuniversitycollege;sharjah;unitedarabemirates;118
universidadeuropeademadrid;madrid;spain;116
kentbusinessschool;kent;unitedkingdom;115
universidaddevalladolid;valladolid;spain;115
centralsouthuniversity;hunan;china;115
malaviyanationalinstituteoftechnologyjaipur;rajasthan;india;113
universityoftoronto;ontario;canada;112
guangzhouuniversity;guangdong;china;111
universityofpennsylvania;pennsylvania;unitedstates;110
