state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
incheon;na;southkorea;1;322;367.2137477461;0.16924300767702902;54.496248472003344;161.0;71.88849715989346;2020;12
berlin;na;germany;1;225;889.247879319;0.14724287842585465;33.1296476458173;112.5;48.59229684141439;2020;12
ontario;on;canada;1;190;1077587.553876187;0.07199301579086308;13.678673000263986;95.0;36.25022200535162;2020;12
ostergotland;ostergotland;sweden;1;167;11939.0611037309;0.10652288061099438;17.789321062036063;83.5;33.79861464754902;2020;11
maryland;md;unitedstates;2;200;25461.8359249494;0.1971419298764958;19.71419298764958;66.66666666666667;28.859333861397584;2020;12
tianjin;na;china;3;232;11475.4487112348;0.3209224671971767;24.818004129914996;58.0;27.712975532370724;2020;12
queensland;qld;australia;1;132;1730135.5915559076;0.06961989180288229;9.189825717980463;66.0;25.08648186992778;2020;12
delhi;dl;india;2;143;1482.3887299728;0.27389439531514204;19.583449265032655;47.666666666666664;22.508003442338154;2020;12
northcarolina;nc;unitedstates;2;160;127661.4141922641;0.17010932978883467;13.608746383106773;53.333333333333336;22.370729682076316;2020;12
zurich;zh;switzerland;1;88;1738.6108428883;0.13402280536969738;11.794006872533371;44.0;18.642676559301023;2020;11
seoul;na;southkorea;1;75;577.7896951119;0.15720948904207838;11.790711678155878;37.5;16.482640389065985;2020;11
texas;tx;unitedstates;1;75;685338.8687343894;0.07441766233424105;5.581324675068078;37.5;14.385247445800772;2020;11
skane;skane;sweden;1;68;11481.8216306491;0.10696780326716421;7.273810622167166;34.0;13.79359280847811;2020;11
baden-wurttemberg;baden-wurttemberg;germany;1;69;36123.5600929418;0.09528593560221361;6.5747295565527395;34.5;13.723338497384985;2020;11
devon;devon;unitedkingdom;1;55;6587.9001432973;0.11372499526651524;6.254874739658338;27.5;11.289533244974953;2020;12
nordrhein-westfalen;nordrhein-westfalen;germany;1;47;34537.8361635312;0.09569524824661284;4.497676667590803;23.5;9.364457305279139;2020;11
massachusetts;ma;unitedstates;1;44;21161.5293886358;0.10040173328719112;4.41767626463641;22.0;8.8393593326412;2020;11
oxfordshire;oxfordshire;unitedkingdom;1;42;2617.0936147012;0.12706154652946225;5.336584954237414;21.0;8.821215500255626;2020;11
selangor;selangor;malaysia;1;43;7729.6797853954;0.11169500195988633;4.802885084275112;21.5;8.804860028744999;2020;11
overijssel;overijssel;netherlands;1;36;3344.5246470215;0.12322283703295982;4.436022133186554;18.0;7.519748323406504;2020;11
shaanxi;shaanxi;china;1;36;205731.1595793134;0.08173720725615072;2.9425394612214255;18.0;7.008092222825859;2020;11
sharjah;sharjah;unitedarabemirates;1;31;2583.6573637813;0.12726940065404155;3.945351420275288;15.5;6.524206940309777;2020;11
uusimaa;uusimaa;finland;1;27;9037.1435028818;0.10977901512438383;2.9640334083583637;13.5;5.524604141160917;2020;12
niedersachsen;niedersachsen;germany;2;32;47595.5433570332;0.1856921347019042;2.9710741552304674;10.666666666666666;4.607810985533013;2020;12
bogota;na;colombia;1;20;1669.9906448169;0.13474960685845247;2.6949921371690495;10.0;4.2765805813425;2020;11
tamilnadu;tn;india;4;42;130683.6903163263;0.33954292960989774;3.5652007609039265;8.4;4.101581230171274;2020;12
michigan;mi;unitedstates;1;18;250043.5692191957;0.08045444236182418;1.4481799625128353;9.0;3.509544801624886;2020;12
jammuandkashmir;jk;india;1;15;42553.2471657589;0.09382152473763043;1.4073228710644563;7.5;3.000381465267362;2020;11
jiangsu;jiangsu;china;1;14;100090.7772935139;0.08685197599907386;1.215927663987034;7.0;2.7675932133287025;2020;11
hubei;hubei;china;1;13;185599.3219275883;0.0824310510589788;1.0716036637667243;6.5;2.551344904941901;2020;12
oregon;or;unitedstates;1;13;251886.9829907966;0.08040692493701694;1.0452900241812202;6.5;2.5418989830394123;2020;12
victoria;vic;australia;2;18;227944.597594159;0.1621157759433525;1.4590419834901724;6.0;2.540385919811175;2020;12
california;ca;unitedstates;1;13;409736.0520512069;0.07737979092218057;1.0059372819883474;6.5;2.527772357636843;2020;11
tennessee;tn;unitedstates;1;12;109298.3231164403;0.08619318380133492;1.034318205616019;6.0;2.3735037964724515;2020;11
indiana;in;unitedstates;1;11;94332.3449078269;0.08730124771552707;0.9603137248707977;5.5;2.1825383241954417;2020;12
vaud;vd;switzerland;1;10;3312.1476662723;0.12337067475636404;1.2337067475636405;5.0;2.1190258074400017;2020;11
oklahoma;ok;unitedstates;1;10;180637.1905342291;0.08261560092097218;0.8261560092097219;5.0;1.9695905367102313;2020;12
derbyshire;derbyshire;unitedkingdom;1;8;2581.0895052008;0.1272855029161013;1.0182840233288104;4.0;1.7151898420816372;2020;11
florida;fl;unitedstates;2;10;146717.8790698472;0.16811987175619805;0.8405993587809902;3.3333333333333335;1.4473508546235072;2020;12
maharashtra;mh;india;1;7;306563.1909541172;0.07915661824617665;0.5540963277232365;3.5;1.3777509819898046;2020;12
