state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
beijing;beijing;china;99;2449;16251.9254289633;10.210366345768515;252.5776482907787;24.49;95.75933821218241;2022;12
hanoi;hanoi;vietnam;4;393;3303.2150049986;0.4936471190599266;48.50082944763779;78.6;42.53149218889924;2022;1
seoul;seoul;southkorea;26;488;577.7896951119;4.087446715094038;76.71823065253425;18.074074074074073;32.959917147234115;2022;6
shanghai;shanghai;china;35;669;6746.0374352377;3.969667751003449;75.87736358346592;18.583333333333332;32.81012155593423;2022;11
westernaustralia;wa;australia;5;384;2528138.6968684313;0.33914413183510933;26.046269324936397;64.0;30.128471152257166;2022;10
iowa;ia;unitedstates;2;192;145446.3632933674;0.16824296959703225;16.151325081315097;64.0;26.77318935030404;2022;12
hubei;hubei;china;35;643;185599.3219275883;2.885086787064258;53.003165830923365;17.86111111111111;24.58312124303291;2022;12
california;ca;unitedstates;55;709;409736.0520512069;4.255888500719931;54.86227176382602;12.660714285714286;23.926291516753412;2022;12
utrecht;na;netherlands;2;145;1395.3875657593;0.2761803860714406;20.02307799017944;48.333333333333336;22.877530569861406;2022;10
binhduong;binhduong;vietnam;1;109;2556.8690053326;0.12743837770692887;13.890783170055247;54.5;22.839407182587394;2022;7
jiangsu;jiangsu;china;34;567;100090.7772935139;2.952967183968511;49.245070391474876;16.2;22.79934585848113;2022;12
berlin;berlin;germany;8;255;889.247879319;1.1779430274068372;37.54693399859294;28.333333333333332;22.35273678644437;2022;12
sichuan;sichuan;china;20;524;484815.9727816655;1.5277057002741887;40.02588934718374;24.952380952380953;22.16865866661296;2022;12
newyork;ny;unitedstates;31;550;136932.6539458316;2.621065358096536;46.5027724823579;17.1875;22.103779280151475;2022;12
massachusetts;ma;unitedstates;33;481;21161.5293886358;3.313257198477307;48.29323371113893;14.147058823529411;21.91784991104855;2022;12
florida;fl;unitedstates;34;528;146717.8790698472;2.858037819855367;44.383646143636284;15.085714285714285;20.77579941640198;2022;12
sharjah;sharjah;unitedarabemirates;2;134;2583.6573637813;0.2545388013080831;17.054099687641568;44.666666666666664;20.658435051872104;2022;12
chittagong;chittagong;bangladesh;2;130;29223.1452326525;0.19450048822926355;12.64253173490213;43.333333333333336;18.723455185488245;2022;3
guangdong;guangdong;china;29;440;175489.8177846857;2.40158829451868;36.43789136511101;14.666666666666666;17.83538210876545;2022;12
gelderland;gelderland;netherlands;3;137;5133.7128302247;0.35113266985252156;16.03505858993182;34.25;16.878730419928115;2022;12
zhejiang;zhejiang;china;17;338;101337.2056883386;1.4748982588982327;29.324447735741334;18.77777777777778;16.525707924139116;2022;12
para;pa;brazil;2;114;1230708.4206899772;0.14262180337455335;8.129442792349542;38.0;15.424021531908032;2022;6
istanbul;na;turkiye;8;190;4807.2010887487;0.9436100632412314;22.410739001979245;21.11111111111111;14.821820058777197;2022;12
istanbul;na;turkey;8;190;4807.2010887487;0.9436100632412314;22.410739001979245;21.11111111111111;14.821820058777197;2022;12
shaanxi;shaanxi;china;14;287;205731.1595793134;1.14432090158611;23.458578482515254;19.133333333333333;14.578744239144898;2022;12
bayern;bayern;germany;12;256;70023.8710338274;1.0755959527344352;22.94604699166795;19.692307692307693;14.57131687890336;2022;12
baden-wurttemberg;baden-wurttemberg;germany;14;260;36123.5600929418;1.3340030984309907;24.77434325657554;17.333333333333332;14.480559896113286;2022;12
hebei;hebei;china;7;205;188968.3850206354;0.5761629709050368;16.87334414793322;25.625;14.358169039612752;2022;12
illinois;il;unitedstates;19;308;150153.0283211724;1.5940377081108918;25.84019021569235;15.4;14.27807597460108;2022;12
newjersey;nj;unitedstates;10;212;19667.4032436701;1.0114528085196968;21.44279954061757;19.272727272727273;13.908993207288182;2022;11
zurich;zh;switzerland;15;196;1738.6108428883;2.010342080545461;26.26846985246069;12.25;13.509603977668718;2022;10
manisa;manisa;turkey;1;66;12932.5359572526;0.10562362460140787;6.971159223692919;33.0;13.358927616098109;2022;5
bucharest;bucharest;romania;6;121;284.4997537065;1.0611503512853155;21.399865417587193;17.285714285714285;13.248910018195597;2022;12
northcarolina;nc;unitedstates;14;247;127661.4141922641;1.1907653085218426;21.00850222892108;16.466666666666665;12.888644734703197;2022;12
maryland;md;unitedstates;26;266;25461.8359249494;2.5628450883944454;26.21987667357394;9.851851851851851;12.878191204606745;2022;12
victoria;vic;australia;14;248;227944.597594159;1.1348104316034675;20.10235621697571;16.533333333333335;12.590166660637502;2022;12
fukushima;fukushima;japan;1;62;13986.1811027576;0.10475705392174514;6.494937343148199;31.0;12.533231465689981;2022;8
minnesota;mn;unitedstates;4;131;224780.1530011972;0.32459937699652913;10.63062959663633;26.2;12.385076324544286;2022;10
pennsylvania;pa;unitedstates;26;284;119356.6385566692;2.2241460836757496;24.294518760150495;10.518518518518519;12.345727787448254;2022;12
anhui;anhui;china;16;247;140193.6675195935;1.350121279338448;20.842497249787293;14.529411764705882;12.24067676461054;2022;12
tamilnadu;tn;india;15;240;130683.6903163263;1.2732859860371166;20.372575776593866;15.0;12.21528725421033;2022;12
mazandaran;mazandaran;iran;1;61;24753.2840565924;0.09884593568264698;6.029602076641465;30.5;12.209482670774705;2022;12
ashsharqiyah;ashsharqiyah;saudiarabia;8;186;553148.0484543691;0.6049889153481227;14.065992281843853;20.666666666666668;11.779215954619547;2022;12
texas;tx;unitedstates;24;291;685338.8687343894;1.786023896021785;21.655539739264142;11.64;11.693854545095311;2022;12
incheon;na;southkorea;1;52;367.2137477461;0.16924300767702902;8.800636399205509;26.0;11.656626468960846;2022;4
britishcolumbia;bc;canada;11;217;945598.3248456959;0.7994433425633215;15.770836848749159;18.083333333333332;11.551204508215271;2022;11
liaoning;liaoning;china;12;208;146513.7227709306;1.0088373140614535;17.48651344373186;16.0;11.49845025259777;2022;12
jilin;jilin;china;8;169;191022.3391030987;0.6578865731070217;13.897853856885835;18.77777777777778;11.111172735923546;2022;12
henan;henan;china;13;208;166146.9719278261;1.0814737331716449;17.303579730746318;14.857142857142858;11.080732107020273;2022;12
delhi;dl;india;5;107;1482.3887299728;0.6847359882878551;14.653350149360099;17.833333333333332;11.057139823660428;2022;12
khulna;na;bangladesh;1;55;21822.3916259036;0.10009270903127968;5.505098996720383;27.5;11.035063901917221;2022;6
ontario;on;canada;27;287;1077587.553876187;1.9438114263533033;20.661995531977706;10.25;10.951935652777003;2022;12
