state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index
indiana;in;unitedstates;9;70;94332.34490782692;0.7857112294397436;6.111087340086894;7.0;4.632266189842213
dalarna;dalarna;sweden;1;23;30251.33644851074;0.0969243133787968;2.2292592077123263;11.5;4.6087278403637075
zuid-holland;zuid-holland;netherlands;9;56;3194.8081331608287;1.1152975703271073;6.939629326479778;5.6;4.551642298935628
washington;wa;unitedstates;10;71;174111.6091089331;0.8286749682367246;5.883592274480744;6.454545454545454;4.388937565754308
overijssel;overijssel;netherlands;4;39;3344.524647021522;0.492891348131839;4.80569064428543;7.8;4.366193997472423
kualalumpur;na;malaysia;3;29;239.05539904561607;0.5473583846984894;5.291131052085398;7.25;4.362829812261296
malatya;malatya;turkey;2;28;11831.362081884057;0.21325159016962833;2.9855222623747966;9.333333333333334;4.177369061959253
oxfordshire;oxfordshire;unitedkingdom;9;50;2617.0936147012267;1.1435539187651587;6.353077326473104;5.0;4.165543748412754
hunan;hunan;china;17;78;211351.48961511627;1.3864781177207703;6.361487834248241;4.333333333333333;4.027099761767448
chongqing;chongqing;china;11;62;82362.54643078936;0.97182603694116;5.477564935486538;5.166666666666667;3.872019213031455
ogun;ogun;nigeria;1;19;16208.129785627487;0.10316372260864393;1.9601107295642346;9.5;3.8544248173909597
pichincha;pichincha;ecuador;2;25;9377.597752455957;0.21867039453808151;2.733379931726019;8.333333333333334;3.761794553199145
semnan;semnan;iran;1;19;90496.233351501;0.08761880901352463;1.6647573712569679;9.5;3.750792060090164
yogyakarta;yogyakarta;indonesia;3;29;3040.9786266081396;0.37405255075952354;3.615841324008728;7.25;3.746631291589417
bayern;bayern;germany;6;46;70023.87103382741;0.5377979763672176;4.123117818815334;6.571428571428571;3.7441147888703745
midtjylland;midtjylland;denmark;2;25;13190.986084149963;0.21080669292120588;2.6350836615150732;8.333333333333334;3.7264078959232045
alberta;ab;canada;7;53;663739.1300613766;0.5221680484237062;3.953558080922347;6.625;3.700242043115351
bolu;na;turkiye;1;18;8575.276416210332;0.11041482157739249;1.987466788393065;9.0;3.6992938699901523
britishcolumbia;bc;canada;5;44;945598.3248456959;0.3633833375287825;3.197773370253286;7.333333333333333;3.6314966803718005
chiangmai;chiangmai;thailand;1;18;22759.55418553517;0.09967322892359606;1.7941181206247292;9.0;3.6312637831827748
izmir;izmir;turkey;2;24;12897.949247945045;0.21130701439084315;2.535684172690118;8.0;3.582330395693654
kwazulu-natal;kwazulu-natal;southafrica;3;31;94006.16874463946;0.2619829627016753;2.707157281250645;7.75;3.573046747984107
virginia;va;unitedstates;14;62;103724.92225889304;1.2121729171684632;5.368194347460337;4.133333333333334;3.5712335326540448
amman;amman;jordan;4;32;7871.351653421184;0.4458756006312897;3.567004805050318;6.4;3.470960135227203
hampshire;hampshire;unitedkingdom;3;27;3642.398660550006;0.36582366889398993;3.292413020045909;6.75;3.469412229646633
newhampshire;nh;unitedstates;1;17;24266.43170382024;0.0990403929650253;1.6836866804054302;8.5;3.427575691123485
nakhonpathom;nakhonpathom;thailand;1;16;2103.9258592917945;0.13068418159194042;2.090946905471047;8.0;3.4072103623543293
cambridgeshire;cambridgeshire;unitedkingdom;8;39;3060.464426569865;0.9966799778587173;4.858814892061247;4.333333333333333;3.3962760677510992
regionmetropolitanadesantiago;rm;chile;4;32;16080.993788211512;0.4129903842840303;3.3039230742722423;6.4;3.372304486185424
hamburg;hamburg;germany;4;27;773.6949949493576;0.6012804811717161;4.0586432479090835;5.4;3.3533079096936
madhyapradesh;mp;india;5;39;309518.68666156667;0.3954827336653466;3.0847653225897034;6.5;3.3267493520850167
idaho;id;unitedstates;1;17;216254.42408344318;0.08140527976202713;1.3838897559544614;8.5;3.3217650119054962
hawalli;hawalli;kuwait;1;13;59.415534274982235;0.24382832342952138;3.169768204583778;6.5;3.304532176004433
xinjiang;xinjiang;china;2;24;1630221.7282375696;0.1398188081832042;1.6778256981984503;8.0;3.2725481687938847
baden-wurttemberg;baden-wurttemberg;germany;9;45;36123.56009294179;0.8575734204199227;4.2878671020996135;4.5;3.215146840839845
sejong;na;southkorea;1;14;418.5544983357127;0.16558502581171866;2.3181903613640613;7.0;3.161258462391926
arriyad;arriyad;saudiarabia;7;44;377087.1139892674;0.5451613974490725;3.426728783965599;5.5;3.157296727138224
louisiana;la;unitedstates;2;22;119547.65755484656;0.1710647595440091;1.8817123549841002;7.333333333333333;3.1287034826204807
haryana;hr;india;6;37;43945.43485960555;0.561234060368688;3.460943372273576;5.285714285714286;3.1026305727855163
gelderland;gelderland;netherlands;2;20;5133.712830224663;0.23408844656834793;2.3408844656834793;6.666666666666667;3.080546526306165
anhui;anhui;china;6;38;140193.66751959352;0.506295479751918;3.206538038428814;5.428571428571429;3.04713498225072
afar;afar;ethiopia;1;15;94140.31444113843;0.08731678107826617;1.3097517161739924;7.5;2.965689499084086
ishikawa;ishikawa;japan;1;14;4113.587562702288;0.12015917899338724;1.6822285059074213;7.0;2.9341292283002693
basel-stadt;bs;switzerland;1;11;39.93966391698153;0.2693893401134994;2.9632827412484932;5.5;2.9108906937873313
saskatchewan;sk;canada;1;15;650869.2951853928;0.07470454913718742;1.1205682370578114;7.5;2.8984242620649994
lowersilesian;lowersilesian;poland;1;14;19658.496482221082;0.10114991489664386;1.4160988085530142;7.0;2.8390829078165525
iasi;iasi;romania;2;18;5546.151766291085;0.23199057513912066;2.087915176252086;6.0;2.7733019171304023
minasgerais;mg;brazil;6;36;586372.6300000143;0.45174897577504697;2.7104938546502817;5.142857142857143;2.768366657760824
makkah;makkah;saudiarabia;3;24;138262.26262106703;0.25344441848162647;2.0275553478530117;6.0;2.760333255444879
somerset;somerset;unitedkingdom;1;13;3437.3568983896694;0.12280864867305628;1.5965124327497318;6.5;2.739773693807596
minnesota;mn;unitedstates;2;19;224780.1530011972;0.16229968849826457;1.5418470407335134;6.333333333333333;2.679160020855037
chandigarh;na;india;1;11;118.74026286874683;0.20897222582489927;2.298694484073892;5.5;2.66922223663293
salamanca;salamanca;spain;1;13;12578.54013558872;0.10593414505512955;1.377143885716684;6.5;2.661026010257271
nordjylland;nordjylland;denmark;3;21;7919.818922548408;0.3341780657228888;2.339246460060221;5.25;2.64114150859437
bihar;br;india;2;18;94689.36603055955;0.17454493343622743;1.5709044009260469;6.0;2.581816444787425
wyoming;wy;unitedstates;1;13;253484.5373209407;0.08036607035394401;1.0447589146012721;6.5;2.541708328318405
henan;henan;china;6;31;166146.97192782612;0.4991417230022976;2.578898902178538;4.428571428571429;2.502204017917421
antioquia;antioquia;colombia;2;17;63351.14474212045;0.18088965809077467;1.5375620937715848;5.666666666666667;2.4617061395096758
fukuoka;fukuoka;japan;3;19;5051.354439295566;0.3517984672048511;2.2280569589640566;4.75;2.4432851420563027
bogota;na;colombia;3;18;1669.990644816934;0.40424882057535627;2.4254929234521376;4.5;2.4432472480091647
hochiminhcity;na;vietnam;2;15;1908.347244541649;0.2647422830441073;1.985567122830805;5.0;2.416769801958304
gansu;gansu;china;7;32;405554.43553606374;0.5420888277643047;2.478120355493964;4.0;2.340069727752756
istanbul;na;turkiye;3;18;4807.201088748707;0.35385377371546173;2.12312264229277;4.5;2.325658805336077
istanbul;na;turkey;3;18;4807.201088748707;0.35385377371546173;2.12312264229277;4.5;2.325658805336077
suffolk;suffolk;unitedkingdom;1;11;3765.499821130529;0.12144911008992663;1.335940210989193;5.5;2.31912977369304
wisconsin;wi;unitedstates;5;25;169395.3018014624;0.41528252206789906;2.0764126103394953;4.166666666666667;2.219453933024687
delaware;de;unitedstates;2;14;5171.661784649603;0.23388687023623309;1.6372080916536316;4.666666666666667;2.1792538761855105
jharkhand;jh;india;2;15;77947.98877239911;0.1775598147932762;1.3316986109495716;5.0;2.169752808580949
amhara;amhara;ethiopia;1;11;156170.9452933007;0.08362103923523899;0.9198314315876289;5.5;2.1678174902742895
osaka;osaka;japan;1;10;1855.0249239114562;0.13286931220291193;1.3286931220291192;5.0;2.15385414474401
ibaraki;ibaraki;japan;1;10;6335.893863528007;0.11423161418684426;1.1423161418684427;5.0;2.0855159186850956
valladolid;valladolid;spain;1;10;8130.972691513911;0.11106719247029821;1.1106719247029821;5.0;2.0739130390577603
khulna;na;bangladesh;1;10;21822.391625903576;0.1000927090312797;1.000927090312797;5.0;2.0336732664480253
pernambuco;pe;brazil;4;20;97630.0639357953;0.34816059360618384;1.7408029680309192;4.0;2.029654520545701
manila;na;philippines;4;11;49.164154935471664;1.021632890901591;2.8094904499793754;2.2;2.010374446960322
limburg;limburg;netherlands;2;12;2094.663748214276;0.26151907830620347;1.5691144698372208;4.0;1.9435445160478082
leicestershire;leicestershire;unitedkingdom;1;9;2055.5328759762597;0.13108261384959993;1.1797435246463994;4.5;1.936942046165333
trabzon;trabzon;turkey;1;9;5006.485552748982;0.11738895252387953;1.0565005727149157;4.5;1.8912965084129318
westernaustralia;wa;australia;4;20;2528138.6968684313;0.27131530546808746;1.3565765273404373;4.0;1.8759639442695082
hordaland;hordaland;norway;1;9;14789.48645011715;0.10414779589277952;0.9373301630350157;4.5;1.8471593196425984
australiancapitalterritory;act;australia;4;15;2349.2816671832716;0.5153118169787908;1.9324193136704657;3.0;1.8159103768830853
addisababa;na;ethiopia;1;8;550.8952317178359;0.1583943067170043;1.2671544537360344;4.0;1.8085162534843462
incheon;na;southkorea;2;10;367.21374774611024;0.3384860153540565;1.6924300767702822;3.3333333333333335;1.788083141819224
guangxi;guangxi;china;5;20;237306.69728644393;0.40397143089386683;1.6158857235754673;3.3333333333333335;1.7843968292675558
kerman;kerman;iran;1;9;183150.97399602045;0.08252138107860922;0.742692429707483;4.5;1.7750712702620308
sharjah;sharjah;unitedarabemirates;2;11;2583.657363781278;0.2545388013080834;1.3999634071944587;3.6666666666666665;1.773722958389736
connecticut;ct;unitedstates;4;16;12704.52326463746;0.4232897365222023;1.6931589460888092;3.2;1.7721495608703373
ljubljana;na;slovenia;3;11;276.4264340186147;0.5332806409013756;1.9553623499717105;2.75;1.7462143302910287
ilfov;ilfov;romania;1;8;1471.817066968132;0.13708146561496568;1.0966517249197254;4.0;1.7445777301782304
aichi;aichi;japan;3;13;4939.565430584321;0.35272393739680624;1.5284703953861603;3.25;1.7103981109276554
colorado;co;unitedstates;4;17;269201.86023144564;0.3199175763939687;1.3596496996743668;3.4;1.6931890920227783
nagaland;nl;india;1;8;16271.530573491867;0.10312219220779115;0.8249775376623292;4.0;1.6426999099567068
tennessee;tn;unitedstates;4;16;109298.32311644025;0.34477273520533974;1.379090940821359;3.2;1.6412878920088996
ilam;ilam;iran;1;8;18802.701538377813;0.10160733641452696;0.8128586913162157;4.0;1.6381553425769144
nordland;nordland;norway;2;11;37316.33943970157;0.18998380019812947;1.0449109010897122;3.6666666666666665;1.6338537893181695
reykjavik;na;iceland;2;9;355.0193636220749;0.3404263940443212;1.5319187731994455;3.0;1.6241150557479223
saopaulo;sp;brazil;3;14;248638.14516769807;0.24147283150442087;1.1268732136872974;3.5;1.6227820150639058
gujarat;gj;india;6;19;184427.98178390934;0.49484455496148466;1.5670077573780348;2.7142857142857144;1.592046008875078
fife;fife;unitedkingdom;1;7;1323.2915913366003;0.13910850746136172;0.973759552229532;3.5;1.5376226865636313
assam;as;india;2;10;79529.61869578768;0.17724372483145107;0.8862186241572553;3.3333333333333335;1.4655985607740132
corum;corum;turkey;1;7;12518.60025961818;0.10598777156590332;0.7419144009613232;3.5;1.4493007241757423
pirkanmaa;pirkanmaa;finland;1;7;15050.791346874656;0.10395818405711914;0.727707288399834;3.5;1.4438884908189842
valledelcauca;valledelcauca;colombia;1;7;20876.520967365483;0.10053860231043153;0.7037702161730207;3.5;1.4347696061611508
yunnan;yunnan;china;2;10;385394.9249282127;0.15549649240881785;0.7774824620440893;3.3333333333333335;1.4221040959287468
koper;na;slovenia;1;6;312.4137624810936;0.1739879568699;1.0439277412194;3.0;1.4059718993630999
souss-massa-draa;souss-massa-draa;morocco;1;7;71933.1131784184;0.08941739829581748;0.6259217880707224;3.5;1.4051130621221801
ceara;ce;brazil;1;7;150227.41374429633;0.08389323557704453;0.5872526490393117;3.5;1.3903819615387853
loreto;loreto;peru;1;7;373776.2575192521;0.07793372548670607;0.5455360784069425;3.5;1.3744899346312163
southcarolina;sc;unitedstates;4;13;80163.53298778078;0.35423821561388147;1.1512742007451149;2.6;1.3685041387863321
uttarpradesh;up;india;8;18;240261.48376257546;0.6457087218106813;1.4528446240740327;2.0;1.366184448628238
cundinamarca;cundinamarca;colombia;2;9;22645.519257852673;0.19944630824921156;0.8975083871214521;3.0;1.3656515651235546
riodejaneiro;rj;brazil;3;11;43977.812549611284;0.2805976998594718;1.0288582328180633;2.75;1.3531519775591783
kyoto;kyoto;japan;3;10;4611.015327997707;0.35560106385670986;1.1853368795223662;2.5;1.346979314459692
eastsussex;eastsussex;unitedkingdom;2;8;1671.9896435443288;0.26945580330521607;1.0778232132208643;2.6666666666666665;1.337981894397582
jiangxi;jiangxi;china;2;9;167798.20201496832;0.16624380729158292;0.7480971328121232;3.0;1.3047803133679021
essex;essex;unitedkingdom;1;6;3386.556466260432;0.12303355266606807;0.7382013159964084;3.0;1.2870782895541588
bern;be;switzerland;2;8;5921.9730921670425;0.2302398434852162;0.9209593739408648;2.6666666666666665;1.2726219613642493
norfolk;norfolk;unitedkingdom;1;6;5413.797772405756;0.11632112373661233;0.6979267424196739;3.0;1.2714159553854287
siirt;na;turkey;1;6;6465.673072068596;0.11396768522101267;0.683806111326076;3.0;1.2659245988490295
rabat;na;morocco;3;5;22.368830183985136;0.951956926291393;1.5865948771523217;1.25;1.2628506011479048
hovedstaden;hovedstaden;denmark;3;9;2529.7530685779025;0.3828350937939133;1.1485052813817398;2.25;1.2604467917252178
andhrapradesh;ap;india;4;12;160581.4926456832;0.3337070000117736;1.0011210000353208;2.4;1.2449426666823646
granada;granada;spain;2;8;12682.01896688354;0.21168458053736172;0.8467383221494469;2.6666666666666665;1.241696523117825
gwangju;na;southkorea;1;5;133.02371068178576;0.2041642679453317;1.0208213397266586;2.5;1.2416618692239967
valparaiso;na;chile;1;6;16821.751222189283;0.10276977398780987;0.6166186439268592;3.0;1.2397961393048897
oregon;or;unitedstates;4;12;251886.98299079665;0.3216276997480677;0.9648830992442031;2.4;1.2288369329974236
ankara;ankara;turkey;4;11;25685.671731278824;0.3939439963785917;1.083345990041127;2.2;1.225763328806573
arizona;az;unitedstates;4;12;295070.11646160216;0.3175870579100265;0.9527611737300795;2.4;1.223449410546702
nuevoleon;nle;mexico;1;6;64983.96629581631;0.09023714220869707;0.5414228532521824;3.0;1.2105533318202932
fars;fars;iran;1;6;125717.27783737754;0.08516582660619272;0.5109949596371564;3.0;1.1987202620811164
bremen;bremen;germany;1;5;385.6647920868011;0.16785400582982055;0.8392700291491028;2.5;1.1690413449929744
surrey;surrey;unitedkingdom;3;8;1683.0304026123515;0.40382583256042914;1.0768688868278111;2.0;1.1602315731294135
montevideo;na;uruguay;3;7;539.7666713247581;0.47672108231571547;1.1123491920700028;1.75;1.1130234247952393
irbid;irbid;jordan;1;5;1798.7021123336087;0.13341558071162185;0.6670779035581093;2.5;1.1001644947565772
binhduong;binhduong;vietnam;1;5;2556.8690053325777;0.127438377706929;0.637191888534645;2.5;1.0882100887471913
pingtung;pingtung;taiwan;1;5;2846.145665303521;0.12572176471520605;0.6286088235760302;2.5;1.0847768627637453
devon;devon;unitedkingdom;1;5;6587.900143297275;0.11372499526651528;0.5686249763325765;2.5;1.060783323866364
balikesir;balikesir;turkey;1;5;14542.39757832472;0.10433085305467314;0.5216542652733658;2.5;1.0419950394426796
mexico;na;mexico;1;5;21825.722321975536;0.10009118013553057;0.5004559006776529;2.5;1.0335156936043945
erzurum;erzurum;turkiye;1;5;23804.607846599876;0.09922922256878636;0.49614611284393184;2.5;1.031791778470906
erzurum;erzurum;turkey;1;5;23804.607846599876;0.09922922256878636;0.49614611284393184;2.5;1.031791778470906
arkansas;ar;unitedstates;2;7;137540.27558089263;0.16903771164007714;0.59163199074027;2.3333333333333335;1.0313343452378936
heilongjiang;heilongjiang;china;5;11;452255.98597234936;0.38396542418158863;0.844723933199495;1.8333333333333333;1.020674230238139
noord-holland;noord-holland;netherlands;2;6;3485.83912495848;0.2451956694619205;0.7355870083857615;2.0;0.9935942259492273
kocaeli;kocaeli;turkey;2;6;3989.218719727912;0.24120793095586365;0.7236237928675909;2.0;0.9882772412744849
fribourg;fr;switzerland;1;4;1645.704330624069;0.13501597087668682;0.5400638835067473;2.0;0.891693284794478
parana;pr;brazil;2;6;198666.17842736215;0.16394267397912748;0.49182802193738245;2.0;0.8852568986388366
nantou;nantou;taiwan;1;4;4153.7873646265725;0.12001896496192031;0.48007585984768125;2.0;0.8666982749365338
bristol;na;unitedkingdom;2;4;122.05383831625406;0.4155738831509413;0.8311477663018826;1.3333333333333333;0.8600183275953857
castellon;castellon;spain;1;4;6688.278951023102;0.11352978281549027;0.4541191312619611;2.0;0.8558829713591504
skane;skane;sweden;1;4;11481.821630649056;0.10696780326716425;0.427871213068657;2.0;0.8449463387786071
vaud;vd;switzerland;2;5;3312.147666272255;0.24674134951272847;0.6168533737818211;1.6666666666666667;0.8434204633204055
schleswig-holstein;schleswig-holstein;germany;1;4;15436.007118081965;0.1036857917803965;0.414743167121586;2.0;0.8394763196339942
sachsen;sachsen;germany;1;4;18166.87804645071;0.10196371541002419;0.40785486164009677;2.0;0.8366061923500402
quezoncity;na;philippines;2;4;164.07793337093935;0.3916640045998536;0.7833280091997072;1.3333333333333333;0.836108449044298
jammuandkashmir;jk;india;1;4;42553.24716575889;0.09382152473763043;0.37528609895052173;2.0;0.8230358745627173
