state_name;affiliation_state;affiliation_country;total_paper_num;total_cited_num;area_km2;paper_num_density;citation_density;academic_index;crdi_index;year;month
quebec;qc;canada;1;1254;1505505.2764716432;0.07030054991526741;88.15688959374532;627.0;238.4090633812202;2022;5
minnesota;mn;unitedstates;2;1528;224780.1530011972;0.16229968849826457;123.99696201267413;509.3333333333333;211.16419834483523;2022;1
massachusetts;ma;unitedstates;2;1019;21161.5293886358;0.20080346657438225;102.30936621964776;339.6666666666667;147.39227878429628;2022;12
florida;fl;unitedstates;2;1038;146717.8790698472;0.16811987175619805;87.25421344146679;346.0;144.47411110440768;2022;7
beijing;na;china;7;1708;16251.9254289633;0.7219450951553495;176.15460321790528;213.5;130.12551610435355;2022;10
sichuan;sichuan;china;3;1140;484815.9727816655;0.22915585504112831;87.07922491562876;285.0;124.1027935902233;2022;3
hainan;hainan;china;1;509;33840.6507115684;0.09588235533457082;48.80411886529655;254.5;101.13333374021038;2022;6
newyork;ny;unitedstates;3;896;136932.6539458316;0.25365148626740674;75.75724389853214;224.0;100.00363179493318;2022;10
california;ca;unitedstates;4;1056;409736.0520512069;0.3095191636887223;81.71305921382267;211.2;97.74085945917045;2022;12
barcelona;barcelona;spain;2;646;7753.0499164184;0.22331471363799746;72.13065250507319;215.33333333333334;95.89576685068151;2022;1
hubei;hubei;china;4;1004;185599.3219275883;0.3297242042359152;82.76077526321471;200.8;94.63016648915021;2022;3
newsouthwales;nsw;australia;2;689;801934.7316220269;0.1471152492749454;50.68120337521869;229.66666666666666;93.49832843038676;2022;10
cambridgeshire;cambridgeshire;unitedkingdom;1;367;3060.4644265699;0.1245849972323395;45.722693984268595;183.5;76.44909299383364;2022;8
jiangxi;jiangxi;china;1;384;167798.2020149683;0.08312190364579146;31.918810999983922;192.0;74.66731096787657;2022;7
shandong;shandong;china;2;527;155914.8264022369;0.16726503549939295;44.07433685409004;175.66666666666666;73.30275618541869;2022;2
fujian;fujian;china;3;566;120723.6958900323;0.25638247086776644;48.37082617038527;141.5;63.37573621375102;2022;3
victoria;vic;australia;2;444;227944.597594159;0.1621157759433525;35.989702259424256;148.0;61.38393934512254;2022;6
southkarelia;southkarelia;finland;1;300;7308.4755358257;0.11239836204399963;33.719508613199885;150.0;61.2773023250813;2022;1
nicosia;na;cyprus;2;379;1967.9460500994;0.2636694940918759;49.96536913041048;126.33333333333333;58.85412398594523;2022;12
northcarolina;nc;unitedstates;2;402;127661.4141922641;0.17010932978883467;34.19197528755577;134.0;56.120694872448205;2022;1
guangdong;guangdong;china;2;341;175489.8177846857;0.16562677893232275;28.239365807961033;113.66666666666667;47.357219751186676;2022;2
zhejiang;zhejiang;china;2;333;101337.2056883386;0.1735174422233215;28.89065413018303;111.0;46.68805719080211;2022;1
henan;henan;china;1;240;166146.9719278261;0.08319028716704961;19.965668920091908;120.0;46.68295306908632;2022;6
jilin;jilin;china;1;224;191022.3391030987;0.08223582163837771;18.420824046996607;112.0;43.50101995621166;2022;5
shaanxi;shaanxi;china;1;214;205731.1595793134;0.08173720725615072;17.491762352816252;107.0;41.52449985335747;2022;10
shanghai;na;china;1;196;6746.0374352377;0.11341907860009853;22.230139405619312;98.0;40.1145194947398;2022;3
berlin;na;germany;1;182;889.247879319;0.14724287842585465;26.798203873505546;91.0;39.31514891731047;2022;1
seoul;na;southkorea;1;176;577.7896951119;0.15720948904207838;27.668870071405795;88.0;38.60869318681596;2022;7
maharashtra;mh;india;1;196;306563.1909541172;0.07915661824617665;15.514697176250621;98.0;37.864617931498934;2022;4
baden-wurttemberg;baden-wurttemberg;germany;1;188;36123.5600929418;0.09528593560221361;17.91375589321616;94.0;37.33634727627279;2022;9
devon;devon;unitedkingdom;1;180;6587.9001432973;0.11372499526651524;20.470499147972742;90.0;36.861408047746416;2022;1
antalya;na;turkiye;1;184;21198.848789481;0.10038397545127169;18.47065148303399;92.0;36.857011819495085;2022;6
utah;ut;unitedstates;1;190;219762.2858414896;0.08129878865103;15.446769843695701;95.0;36.84268954411558;2022;4
jiangsu;jiangsu;china;1;184;100090.7772935139;0.08685197599907386;15.980763583829589;92.0;36.02253851994289;2022;5
ogun;ogun;nigeria;1;178;16208.1297856275;0.10316372260864393;18.363142624338618;89.0;35.82210211564909;2022;8
ontario;on;canada;1;185;1077587.553876187;0.07199301579086308;13.31870792130967;92.5;35.296900312366844;2022;11
sharjah;na;unitedarabemirates;1;167;2583.6573637813;0.12726940065404155;21.253989909224938;83.5;34.96041976995966;2022;8
kualalumpur;na;malaysia;1;153;239.0553990456;0.18245279489949873;27.915277619623307;76.5;34.865910138174264;2022;1
selangor;selangor;malaysia;1;169;7729.6797853954;0.11169500195988633;18.87645533122079;84.5;34.49605011106022;2022;4
queensland;qld;australia;1;177;1730135.5915559076;0.06961989180288229;12.322720849110167;88.5;33.63078024697102;2022;1
virginia;va;unitedstates;1;169;103724.922258893;0.08658377979774737;14.632658785819306;84.5;33.07308085520568;2022;7
vastragotaland;vastragotaland;sweden;1;165;29476.73914203;0.09716859788958476;16.032818651781486;82.5;32.876662416557025;2022;3
hunan;hunan;china;1;149;211351.4896151163;0.0815575363365159;12.15207291414087;74.5;28.911210150159132;2022;1
