state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;total_paper_num;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
southcarolina;sc;unitedstates;University of South Carolina;3;2020-12-01;unitedstatesofamerica;80163.53298778078;2020;12;4;44;0.35423821561388147;3.896620371752696;8.8;4.3502861957888594
texas;tx;unitedstates;Cockrell School of Engineering;4;2020-12-01;unitedstatesofamerica;685338.8687343894;2020;12;32;1193;2.3813651946957135;88.78027116474956;36.15151515151515;42.43771717032015
california;ca;unitedstates;Baskin School of Engineering;2;2020-12-01;unitedstatesofamerica;409736.05205120693;2020;12;96;3687;7.4284599285293345;285.2992891300797;38.01030927835052;110.24601944565319
pennsylvania;pa;unitedstates;Drexel University College of Engineering;1;2020-12-01;unitedstatesofamerica;119356.63855666919;2020;12;27;704;2.3096901638171246;60.22303241952799;25.142857142857142;29.22519324206742
pernambuco;pe;brazil;Universidade Federal de Pernambuco;0;2020-12-01;brazil;97630.0639357953;2020;12;4;5;0.34816059360618384;0.4352007420077298;1.0;0.5944537785379712
tennessee;tn;unitedstates;Department of Computer Science;53;2020-12-01;unitedstatesofamerica;109298.32311644025;2020;12;6;149;0.5171591028080096;12.842784386398906;21.285714285714285;11.548552591640401
indiana;in;unitedstates;Purdue University;2;2020-12-01;unitedstatesofamerica;94332.34490782692;2020;12;11;191;0.9603137248707977;16.674538313665668;15.916666666666666;11.183839568401043
newyork;ny;unitedstates;NYU Tandon School of Engineering;41;2020-12-01;unitedstatesofamerica;136932.6539458316;2020;12;46;1827;3.8893227894335696;154.47375513685068;38.87234042553192;65.7451394506054
zurich;zh;switzerland;ETH Zürich;0;2020-12-01;switzerland;1738.6108428882562;2020;12;7;100;0.9381596375878849;13.402280536969783;12.5;8.946813391519223
bern;be;switzerland;University of Bern, Faculty of Medicine;12;2020-12-01;switzerland;5921.9730921670425;2020;12;1;12;0.1151199217426081;1.3814390609112972;6.0;2.4988529942179682
texas;tx;unitedstates;College of Engineering;54;2020-12-01;unitedstatesofamerica;685338.8687343894;2020;12;32;1193;2.3813651946957135;88.78027116474956;36.15151515151515;42.43771717032015
westernaustralia;wa;australia;UWA Medical School;26;2020-12-01;australia;2528138.6968684313;2020;12;3;105;0.2034864791010656;7.122026768537296;26.25;11.191837749212787
newyork;ny;unitedstates;Icahn School of Medicine at Mount Sinai;9;2020-12-01;unitedstatesofamerica;136932.6539458316;2020;12;46;1827;3.8893227894335696;154.47375513685068;38.87234042553192;65.7451394506054
texas;tx;unitedstates;The University of Texas at San Antonio;23;2020-12-01;unitedstatesofamerica;685338.8687343894;2020;12;32;1193;2.3813651946957135;88.78027116474956;36.15151515151515;42.43771717032015
newsouthwales;nsw;australia;Western Sydney University;18;2020-12-01;australia;801934.7316220269;2020;12;10;312;0.7355762463747271;22.949978886891483;28.363636363636363;17.349730498967524
