state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
texas;tx;unitedstates;edwarde.whitacrejr.collegeofengineering;1;2021-12-30;unitedstates;685338.8687343894
districtofcolumbia;dc;unitedstates;nationalacademyofmedicine;22;2021-12-18;unitedstates;162.2352916304
virginia;va;unitedstates;natureconservancy;19;2021-12-17;unitedstates;103724.922258893
virginia;va;unitedstates;virginiatechcollegeofengineering;5;2021-12-16;unitedstates;103724.922258893
newyork;ny;unitedstates;collegeofengineeringandcomputerscience;2;2021-12-14;unitedstates;136932.6539458316
newyork;ny;unitedstates;cornelluniversity;4;2021-12-05;unitedstates;136932.6539458316
newsouthwales;nsw;australia;universityofnewsouthwales,schoolofelectricalengineeringandtelecommunications;3;2021-12-03;australia;801934.7316220269
westbengal;wb;india;indianinstituteoftechnologykharagpur;1;2021-12-01;india;86363.0481262015
minnesota;mn;unitedstates;carlsonschoolofmanagement;9;2021-12-01;unitedstates;224780.1530011972
bihar;br;india;nationalinstituteoftechnologypatna;10;2021-12-01;india;94689.3660305596
wisconsin;wi;unitedstates;universityofwisconsinschoolofmedicineandpublichealth;7;2021-12-01;unitedstates;169395.3018014624
texas;tx;unitedstates;universityofnorthtexas;2;2021-12-01;unitedstates;685338.8687343894
california;ca;unitedstates;uclasamuelischoolofengineering;9;2021-12-01;unitedstates;409736.0520512069
texas;tx;unitedstates;texastechuniversity;30;2021-12-01;unitedstates;685338.8687343894
california;ca;unitedstates;claremontgraduateuniversity;3;2021-12-01;unitedstates;409736.0520512069
lesserpolandvoivodeship;ma;poland;lukasiewicz-instytuttechnologiieksploatacji;9;2021-12-01;;
southcarolina;sc;unitedstates;clemsonuniversitycollegeofengineering,computingandappliedsciences;2;2021-12-01;unitedstates;80163.5329877808
uttarpradesh;up;india;shardauniversity;2;2021-12-01;india;240261.4837625755
quebec;qc;canada;mcgillfacultyofmedicineandhealthsciences;11;2021-12-01;canada;1505505.2764716432
queensland;qld;australia;princessalexandrahospital;74;2021-12-01;australia;1730135.5915559076
california;ca;unitedstates;universityofcalifornia,sandiego;1;2021-12-01;unitedstates;409736.0520512069
nuevoleon;nle;mexico;tecnologicodemonterrey;24;2021-12-01;mexico;64983.9662958163
massachusetts;ma;unitedstates;massgeneralbrigham;9;2021-12-01;unitedstates;21161.5293886358
quebec;qc;canada;polytechniquemontreal;91;2021-12-01;canada;1505505.2764716432
massachusetts;ma;unitedstates;collegeofengineering;9;2021-12-01;unitedstates;21161.5293886358
brussels-capitalregion;bru;belgium;universitelibredebruxelles;16;2021-12-01;;
california;ca;unitedstates;californiainstituteoftechnologydivisionofengineeringandappliedscience;46;2021-12-01;unitedstates;409736.0520512069
connecticut;ct;unitedstates;universityofconnecticut;5;2021-12-01;unitedstates;12704.5232646375
districtofcolumbia;dc;unitedstates;usdanaturalresourcesconservationservice;28;2021-12-01;unitedstates;162.2352916304
michigan;mi;unitedstates;michiganstateuniversity;11;2021-12-01;unitedstates;250043.5692191957
connecticut;ct;unitedstates;yaleschoolofmedicine;20;2021-12-01;unitedstates;12704.5232646375
rhodeisland;ri;unitedstates;thewarrenalpertmedicalschool;61;2021-12-01;unitedstates;2832.3850914376
utah;ut;unitedstates;theuniversityofutah;28;2021-12-01;unitedstates;219762.2858414896
california;ca;unitedstates;universityofcalifornia,irvine;10;2021-12-01;unitedstates;409736.0520512069
pennsylvania;pa;unitedstates;foxschoolofbusiness;6;2021-12-01;unitedstates;119356.6385566692
westvirginia;wv;unitedstates;wvuhealthsciencescentermorgantown;9;2021-12-01;unitedstates;62735.3781237684
california;ca;unitedstates;baskinschoolofengineering;12;2021-12-01;unitedstates;409736.0520512069
indiana;in;unitedstates;purdueuniversity;4;2021-12-01;unitedstates;94332.3449078269
tamilnadu;tn;india;annauniversity;82;2021-12-01;india;130683.6903163263
michigan;mi;unitedstates;michiganstateuniversity;9;2021-12-01;unitedstates;250043.5692191957
ohio;oh;unitedstates;airforceresearchlaboratory;16;2021-12-01;unitedstates;116043.6526534473
illinois;il;unitedstates;universityofillinoisurbana-champaign;11;2021-12-01;unitedstates;150153.0283211724
georgia;ga;unitedstates;rollinsschoolofpublichealth;20;2021-12-01;unitedstates;152164.1143214319
minnesota;mn;unitedstates;mayoclinic;6;2021-12-01;unitedstates;224780.1530011972
texas;tx;unitedstates;cullencollegeofengineering;24;2021-12-01;unitedstates;685338.8687343894
newyork;ny;unitedstates;weillcornellmedicine;11;2021-12-01;unitedstates;136932.6539458316
alberta;ab;canada;universityofcalgary;15;2021-12-01;canada;663739.1300613766
newsouthwales;nsw;australia;facultyofengineering;12;2021-12-01;australia;801934.7316220269
california;ca;unitedstates;lawrenceberkeleynationallaboratory;29;2021-12-01;unitedstates;409736.0520512069
kansas;ks;unitedstates;kansasstateuniversity;7;2021-12-01;unitedstates;212825.5831370989
espiritosanto;es;brazil;universidadefederaldoespiritosanto;27;2021-12-01;brazil;45807.4673185315
newyork;ny;unitedstates;weillcornellmedicine;17;2021-12-01;unitedstates;136932.6539458316
ontario;on;canada;children'shospitalofeasternontario,ottawa;2;2021-12-01;canada;1077587.553876187
minnesota;mn;unitedstates;universityofminnesotatwincities;19;2021-12-01;unitedstates;224780.1530011972
ontario;on;canada;torontometropolitanuniversity;8;2021-12-01;canada;1077587.553876187
michoacan;mic;mexico;universidadmichoacanadesannicolasdehidalgo;1;2021-12-01;mexico;58881.1706827853
massachusetts;ma;unitedstates;brighamandwomen'shospital;68;2021-12-01;unitedstates;21161.5293886358
texas;tx;unitedstates;universityoftexashealthsciencecenterathouston;19;2021-12-01;unitedstates;685338.8687343894
westernaustralia;wa;australia;curtinuniversity;90;2021-12-01;australia;2528138.6968684313
indiana;in;unitedstates;collegeofagriculture;39;2021-12-01;unitedstates;94332.3449078269
delhi;dl;india;jawaharlalnehruuniversity;24;2021-12-01;india;1482.3887299728
northcarolina;nc;unitedstates;theuniversityofnorthcarolinaatgreensboro;19;2021-12-01;unitedstates;127661.4141922641
texas;tx;unitedstates;theuniversityoftexasmdandersoncancercenter;27;2021-12-01;unitedstates;685338.8687343894
massachusetts;ma;unitedstates;brighamandwomen'shospital;7;2021-12-01;unitedstates;21161.5293886358
riodejaneiro;rj;brazil;fundacaooswaldocruz;17;2021-12-01;brazil;43977.8125496113
idaho;id;unitedstates;boisestateuniversity;25;2021-12-01;unitedstates;216254.4240834432
massachusetts;ma;unitedstates;massachusettsinstituteoftechnology;135;2021-12-01;unitedstates;21161.5293886358
uttarpradesh;up;india;jaypeeinstituteofinformationtechnology;11;2021-11-15;india;240261.4837625755
zurich;zh;switzerland;ethzurich;41;2021-11-14;switzerland;1738.6108428883
california;ca;unitedstates;universityofcalifornia,sandiego;1;2021-11-12;unitedstates;409736.0520512069
massachusetts;ma;unitedstates;harvarduniversity;8;2021-11-05;unitedstates;21161.5293886358
virginia;va;unitedstates;virginiacommonwealthuniversity;6;2021-11-05;unitedstates;103724.922258893
pennsylvania;pa;unitedstates;whartonschooloftheuniversityofpennsylvania;58;2021-11-04;unitedstates;119356.6385566692
california;ca;unitedstates;universityofcalifornia,davis;16;2021-11-02;unitedstates;409736.0520512069
ontario;on;canada;westernuniversity;1;2021-11-02;canada;1077587.553876187
ontario;on;canada;universityoftorontofacultyofmedicine;0;2021-11-01;canada;1077587.553876187
newyork;ny;unitedstates;universityatbuffalo,thestateuniversityofnewyork;1;2021-11-01;unitedstates;136932.6539458316
newjersey;nj;unitedstates;fairleighdickinsonuniversity;6;2021-11-01;unitedstates;19667.4032436701
texas;tx;unitedstates;theuniversityoftexasataustin;1;2021-11-01;unitedstates;685338.8687343894
newyork;ny;unitedstates;nyugrossmanschoolofmedicine;13;2021-11-01;unitedstates;136932.6539458316
uttarpradesh;up;india;amityuniversity;97;2021-11-01;india;240261.4837625755
tamilnadu;tn;india;sankaranethralaya;17;2021-11-01;india;130683.6903163263
quebec;qc;canada;hecmontreal;0;2021-11-01;canada;1505505.2764716432
queensland;qld;australia;cquniversityaustralia;32;2021-11-01;australia;1730135.5915559076
britishcolumbia;bc;canada;theuniversityofbritishcolumbia;11;2021-11-01;canada;945598.3248456959
maharashtra;mh;india;sanjayghodawatuniversity,kolhapur;67;2021-11-01;india;306563.1909541172
tennessee;tn;unitedstates;oakridgenationallaboratory;20;2021-11-01;unitedstates;109298.3231164403
virginia;va;unitedstates;virginiacommonwealthuniversity;3;2021-11-01;unitedstates;103724.922258893
queensland;qld;australia;queenslanduniversityoftechnology;26;2021-11-01;australia;1730135.5915559076
ontario;on;canada;facultyofhealth;10;2021-11-01;canada;1077587.553876187
northcarolina;nc;unitedstates;ncstateuniversity;91;2021-11-01;unitedstates;127661.4141922641
newyork;ny;unitedstates;thecityuniversityofnewyork;2;2021-11-01;unitedstates;136932.6539458316
tamilnadu;tn;india;annauniversity;48;2021-11-01;india;130683.6903163263
texas;tx;unitedstates;cullencollegeofengineering;16;2021-11-01;unitedstates;685338.8687343894
massachusetts;ma;unitedstates;mitschoolofengineering;26;2021-11-01;unitedstates;21161.5293886358
louisiana;la;unitedstates;northeastdeltahumanservicesauthority;2;2021-11-01;unitedstates;119547.6575548466
britishcolumbia;bc;canada;universityofvictoria;21;2021-11-01;canada;945598.3248456959
ontario;on;canada;carletonuniversity;16;2021-11-01;canada;1077587.553876187
washington;wa;unitedstates;microsoftcorporation;2;2021-11-01;;
zurich;zh;switzerland;swissnationalbank;4;2021-11-01;switzerland;1738.6108428883
newyork;ny;unitedstates;unicef;73;2021-11-01;unitedstates;136932.6539458316
massachusetts;ma;unitedstates;massachusettsgeneralhospital;27;2021-11-01;unitedstates;21161.5293886358
regionmetropolitanadesantiago;rm;chile;universidaddechile;21;2021-11-01;chile;16080.9937882115
missouri;mo;unitedstates;collegeofengineeringandcomputing;41;2021-11-01;unitedstates;180475.9762211875
virginia;va;unitedstates;virginiapolytechnicinstituteandstateuniversity;4;2021-11-01;unitedstates;103724.922258893
texas;tx;unitedstates;erikjonssonschoolofengineeringandcomputerscience;51;2021-11-01;unitedstates;685338.8687343894
massachusetts;ma;unitedstates;bostoncollege;110;2021-11-01;unitedstates;21161.5293886358
michigan;mi;unitedstates;universityofmichigan,annarbor;20;2021-11-01;unitedstates;250043.5692191957
newsouthwales;nsw;australia;westernsydneyuniversity;98;2021-11-01;australia;801934.7316220269
california;ca;unitedstates;californiainstituteoftechnologydivisionofengineeringandappliedscience;28;2021-11-01;unitedstates;409736.0520512069
washington;wa;unitedstates;pacificnorthwestnationallaboratory;2;2021-11-01;;
uttarpradesh;up;india;indianinstituteoftechnology(bhu)varanasi;5;2021-11-01;india;240261.4837625755
ontario;on;canada;universityofottawa;7;2021-10-30;canada;1077587.553876187
colorado;co;unitedstates;universityofalabama;10;2021-10-27;unitedstates;269201.8602314456
riograndedosul;rs;brazil;universidadefederaldoriograndedosul;1;2021-10-26;brazil;272278.8886611295
newsouthwales;nsw;australia;universityoftechnologysydney;8;2021-10-26;australia;801934.7316220269
newsouthwales;nsw;australia;universityofwollongong;67;2021-10-26;australia;801934.7316220269
tamilnadu;tn;india;collegeofengineering,guindy;1;2021-10-25;india;130683.6903163263
northcarolina;nc;unitedstates;departmentofenvironmentalsciencesandengineering;19;2021-10-20;unitedstates;127661.4141922641
texas;tx;unitedstates;collegeofengineering;0;2021-10-18;unitedstates;685338.8687343894
zurich;zh;switzerland;universitatzurich;207;2021-10-13;switzerland;1738.6108428883
california;ca;unitedstates;stanforduniversity;5;2021-10-05;unitedstates;409736.0520512069
newyork;ny;unitedstates;cornelluniversity;7;2021-10-05;unitedstates;136932.6539458316
newsouthwales;nsw;australia;westernsydneyuniversity;8;2021-10-05;australia;801934.7316220269
california;ca;unitedstates;esnet;2;2021-10-01;unitedstates;409736.0520512069
maharashtra;mh;india;vivekanandeducationsociety'sinstituteoftechnology;0;2021-10-01;india;306563.1909541172
maharashtra;mh;india;"mukeshpatelschooloftechnologymanagement&amp;engineering,shirpurcampus";1;2021-10-01;india;306563.1909541172
newsouthwales;nsw;australia;facultyofmedicineandhealth;13;2021-10-01;australia;801934.7316220269
