state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
ontario;on;canada;universityoftoronto;105;2020-02-04;canada;1077587.553876187
newjersey;nj;unitedstates;charlesv.schaefer,jr.schoolofengineeringandscience;104;2020-01-01;unitedstates;19667.4032436701
massachusetts;ma;unitedstates;schoolofpublichealth;97;2020-01-01;unitedstates;21161.5293886358
newjersey;nj;unitedstates;southwesternuniversityoffinanceandeconomics;95;2020-09-01;unitedstates;19667.4032436701
newyork;ny;unitedstates;brookhavennationallaboratory;84;2020-12-01;unitedstates;136932.6539458316
basel-stadt;bs;switzerland;universitatbasel;84;2020-03-02;switzerland;39.939663917
massachusetts;ma;unitedstates;harvardt.h.chanschoolofpublichealth;80;2020-01-01;unitedstates;21161.5293886358
california;ca;unitedstates;ucsfschoolofmedicine;77;2020-07-01;unitedstates;409736.0520512069
queensland;qld;australia;theuniversityofqueensland;64;2020-09-24;australia;1730135.5915559076
massachusetts;ma;unitedstates;harvardmedicalschool;58;2020-06-01;unitedstates;21161.5293886358
;viken;norway;akershusuniversityhospital;383;2020-12-01;;
;southerndistrict;israel;ben-gurionuniversityofthenegev;134;2020-09-01;;
;sindhi;pakistan;salimhabibuniversity;70;2020-01-01;;
;westjava;indonesia;universitasindonesia;56;2020-08-01;;
;stockholms;sweden;karolinskainstitutet;52;2020-11-01;;
;na;taiwan;nationaltaiwanuniversityhospital;97;2020-01-01;;
;na;unitedkingdom;"londonschoolofhygiene&amp;tropicalmedicine";88;2020-01-01;;
;na;southkorea;intelligencelaboratories;67;2020-01-01;;
;na;hongkong;hongkonguniversityofscienceandtechnology;61;2020-01-01;;
;na;israel;diagnosticroboticsinc.;61;2020-12-01;;
bristol;na;unitedkingdom;universityofthewestofengland;61;2020-10-01;;122.0538383163
;na;unitedkingdom;royalbromptonhospital;58;2020-08-01;;
;na;taiwan;taipeimedicaluniversity;57;2020-04-01;;
;na;norway;universitetetistavanger;52;2020-09-01;;
florida;fl;unitedstates;faucollegeofengineeringandcomputerscience;51;2020-12-01;;146717.8790698472
florida;fl;unitedstates;faucollegeofengineeringandcomputerscience;51;2020-12-01;;146717.8790698472
