state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
aucklandregion;auk;newzealand;ligginsinstitute;330;2022-01-01;;
newyork;ny;unitedstates;bristol-myerssquibb;287;2022-01-01;unitedstates;136932.6539458316
california;ca;unitedstates;stanfordengineering;266;2022-12-01;unitedstates;409736.0520512069
newyork;ny;unitedstates;memorialsloan-ketteringcancercenter;257;2022-02-01;unitedstates;136932.6539458316
haryana;hr;india;maharishimarkandeshwar(deemedtobeuniversity),mullana;206;2022-01-01;india;43945.4348596055
ontario;on;canada;queen'suniversity;192;2022-06-01;canada;1077587.553876187
indiana;in;unitedstates;universityofnotredame;174;2022-12-01;unitedstates;94332.3449078269
jammuandkashmir;jk;india;islamicuniversityofscienceandtechnology;164;2022-10-01;india;42553.2471657589
karnataka;ka;india;genlabbiosolutionsprivatelimited;153;2022-08-01;india;191841.355605401
pennsylvania;pa;unitedstates;universityofpennsylvania;151;2022-12-01;unitedstates;119356.6385566692
massachusetts;ma;unitedstates;harvardmedicalschool;135;2022-12-01;unitedstates;21161.5293886358
newsouthwales;nsw;australia;facultyofmedicineandhealth;130;2022-12-01;australia;801934.7316220269
uttarpradesh;up;india;abesinstituteoftechnology;115;2022-05-01;india;240261.4837625755
massachusetts;ma;unitedstates;massachusettsinstituteoftechnology;101;2022-07-22;unitedstates;21161.5293886358
britishcolumbia;bc;canada;theuniversityofbritishcolumbia;101;2022-01-01;canada;945598.3248456959
california;ca;unitedstates;stanforduniversityschoolofmedicine;97;2022-04-01;unitedstates;409736.0520512069
maharashtra;mh;india;jioinstitute;96;2022-10-01;india;306563.1909541172
massachusetts;ma;unitedstates;massachusettsinstituteoftechnology;94;2022-12-01;unitedstates;21161.5293886358
minnesota;mn;unitedstates;mayoclinic;89;2022-01-01;unitedstates;224780.1530011972
karnataka;ka;india;hkbkcollegeofengineering;86;2022-01-01;india;191841.355605401
massachusetts;ma;unitedstates;harvardmedicalschool;85;2022-02-01;unitedstates;21161.5293886358
massachusetts;ma;unitedstates;tuftsuniversity;84;2022-03-24;unitedstates;21161.5293886358
minnesota;mn;unitedstates;mayoclinic;83;2022-11-01;unitedstates;224780.1530011972
illinois;il;unitedstates;northwesternuniversityfeinbergschoolofmedicine;80;2022-05-01;unitedstates;150153.0283211724
